"","pmid","title","source","abstract"
"427",37679846,"ChromGene: gene-based modeling of epigenomic data.","Genome Biol","Various computational approaches have been developed to annotate epigenomes on a per-position basis by modeling combinatorial and spatial patterns within epigenomic data. However, such annotations are less suitable for gene-based analyses. We present ChromGene, a method based on a mixture of learned hidden Markov models, to annotate genes based on multiple epigenomic maps across the gene body and flanks. We provide ChromGene assignments for over 100 cell and tissue types. We characterize the mixture components in terms of gene expression, constraint, and other gene annotations. The ChromGene method and annotations will provide a useful resource for gene-based epigenomic analyses.© 2023. BioMed Central Ltd., part of Springer Nature."
"428",37662342,"Variant-to-function analysis of the childhood obesity chr12q13 locus implicates rs7132908 as a causal variant within the 3' UTR of FAIM2.","bioRxiv","The ch12q13 obesity locus is among the most significant childhood obesity loci identified in genome-wide association studies. This locus resides in a non-coding region withinFAIM2; thus, the underlying causal variant(s) presumably influence disease susceptibility via an influence oncis-regulation within the genomic region. We implicated rs7132908 as a putative causal variant at this locus leveraging a combination of our inhouse 3D genomic data, public domain datasets, and several computational approaches. Using a luciferase reporter assay in human primary astrocytes, we observed allele-specificcis-regulatory activity of the immediate region harboring rs7132908. Motivated by this finding, we went on to generate isogenic human embryonic stem cell lines homozygous for either rs7132908 allele with CRISPR-Cas9 homology-directed repair to assess changes in gene expression due to genotype and chromatin accessibility throughout a differentiation to hypothalamic neurons, a key cell type known to regulate feeding behavior. We observed that the rs7132908 obesity risk allele influenced the expression ofFAIM2along with other genes, decreased the proportion of neurons produced during differentiation, up-regulated cell death gene sets, and conversely down-regulated neuron differentiation gene sets. We have therefore functionally validated rs7132908 as a causal obesity variant which temporally regulates nearby effector genes at the ch12q13 locus and influences neurodevelopment and survival."
"429",37685476,"The Effects of Combining Aerobic and Heavy Resistance Training on Body Composition, Muscle Hypertrophy, and Exercise Satisfaction in Physically Active Adults.","Healthcare (Basel)","This study investigated the effects of combined aerobic and heavy resistance training on the variables of body composition, muscle hypertrophy, and exercise satisfaction in physically active adults in comparison with heavy resistance training only (predominantly designed for hypertrophy). Twenty-two healthy male adults between the ages of 18 and 35, who had limited previous experience with muscle resistance training, participated in the intervention program while maintaining their physical activity level. The participants were randomly allocated into two groups: the resistance training group (control group) and the combined training group (experimental group), which involved both resistance training and aerobic training. Aerobic training consisted of 30 min aerobic interval training sessions three times a week with a total of 8 min work bouts in each at 60-70% of heart rate reserve (HRR). The intervention training program lasted for eight weeks. Resistance training consisted of a 3-day muscle group split (2-3 exercises per muscle group, 8 sets per muscle group, 6-12 repetition maximum (RM). Upon completion, body composition, muscle hypertrophy, and exercise satisfaction were analyzed using the mixed-design ANOVA. Variables selected for this study as markers of body composition responded differently to the different interventions and time; however, some trends were not statistically significant. Overall, it is not possible to state unequivocally that one training modality was superior to another in the body composition cluster, for significant improvements were observed within the groups from pre- to post-interventions, but no significant differences were observed between the resistance training and combined training groups, while, both interventions showed improvement with time in some variables of muscle hypertrophy. Compared to baseline, the exercise satisfaction post-intervention improved within the groups. From pre- to post-testing, both resistance and combined training groups improved exercise satisfaction (p< 0.05 in both groups). However, there was no significant difference in exercise satisfaction observed between the resistance training and combined training groups after the training intervention (p> 0.05)."
"430",37898663,"XMAP: Cross-population fine-mapping by leveraging genetic diversity and accounting for confounding bias.","Nat Commun","Fine-mapping prioritizes risk variants identified by genome-wide association studies (GWASs), serving as a critical step to uncover biological mechanisms underlying complex traits. However, several major challenges still remain for existing fine-mapping methods. First, the strong linkage disequilibrium among variants can limit the statistical power and resolution of fine-mapping. Second, it is computationally expensive to simultaneously search for multiple causal variants. Third, the confounding bias hidden in GWAS summary statistics can produce spurious signals. To address these challenges, we develop a statistical method for cross-population fine-mapping (XMAP) by leveraging genetic diversity and accounting for confounding bias. By using cross-population GWAS summary statistics from global biobanks and genomic consortia, we show that XMAP can achieve greater statistical power, better control of false positive rate, and substantially higher computational efficiency for identifying multiple causal signals, compared to existing methods. Importantly, we show that the output of XMAP can be integrated with single-cell datasets, which greatly improves the interpretation of putative causal variants in their cellular context at single-cell resolution.© 2023. The Author(s)."
"431",37895311,"Multi-Trait Exome-Wide Association Study of Back Pain-Related Phenotypes.","Genes (Basel)","Back pain (BP) is a major contributor to disability worldwide, with heritability estimated at 40-60%. However, less than half of the heritability is explained by common genetic variants identified by genome-wide association studies. More powerful methods and rare and ultra-rare variant analysis may offer additional insight. This study utilized exome sequencing data from the UK Biobank to perform a multi-trait gene-based association analysis of three BP-related phenotypes: chronic back pain, dorsalgia, and intervertebral disc disorder. We identified theSLC13A1gene as a contributor to chronic back pain via loss-of-function (LoF) and missense variants. This gene has been previously detected in two studies. A multi-trait approach uncovered the novelFSCN3gene and its impact on back pain through LoF variants. This gene deserves attention because it is only the second gene shown to have an effect on back pain due to LoF variants and represents a promising drug target for back pain therapy."
"432",37889424,"Association between genetically proxied lipid-lowering drug targets, lipid traits, and amyotrophic lateral sclerosis: a mendelian randomization study.","Acta Neurol Belg","The use of circulating lipid traits as biomarkers to predict the risk of amyotrophic lateral sclerosis (ALS) is currently controversial, and the evidence-based medical evidence for the use of lipid-lowering agents, especially statins, on ALS risk remains insufficient. Our aim was to apply a Mendelian randomization (MR) approach to assess the causal impact of lipid-lowering agents and circulating lipid traits on ALS risk.Our study included primary and secondary analyses, in which the risk associations of lipid-lowering gene inhibitors, lipid traits, and ALS were assessed by the inverse variance weighting method as the primary approach. The robustness of the results was assessed using LDSC assessment, conventional MR sensitivity analysis, and used Mediating MR to explore potential mechanisms of occurrence. In the secondary analysis, the association of lipid-lowering genes with ALS was validated using the Summary data-based Mendelian Randomization (SMR) method.Our results showed strong evidence between genetic proxies for Apolipoprotein B (ApoB) inhibitor (OR = 0.76, 95% CI = 0.68 - 0.86; P = 5.58 × 10-6) and reduced risk of ALS. Additionally, 3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMGCR) inhibitor (OR = 1.06, 95% CI = 0. 85-1.33) was not found to increase ALS risk. SMR results suggested that ApoB expression was associated with increased ALS risk, and colocalization analysis did not support a significant common genetic variation between ApoB and ALS. Mediator MR analysis suggested a possible mediating role for interleukin-6 and low-density lipoprotein cholesterol (LDL-C). While elevated LDL-C was significantly associated with increased risk of ALS among lipid traits, total cholesterol (TC) and ApoB were weakly associated with ALS. LDSC results suggested a potential genetic correlation between these lipid traits and ALS.Using ApoB inhibitor can lower the risk of ALS, statins do not trigger ALS, and LDL-C, TC, and ApoB levels can predict the risk of ALS.© 2023. The Author(s) under exclusive licence to Belgian Neurological Society."
"433",37884687,NA,NA,"Migraine is a complex neurovascular disease with a range of severity and symptoms, yet mostly studied as one phenotype in genome-wide association studies (GWAS). Here we combine large GWAS datasets from six European populations to study the main migraine subtypes, migraine with aura (MA) and migraine without aura (MO). We identified four new MA-associated variants (in PRRT2, PALMD, ABO and LRRK2) and classified 13 MO-associated variants. Rare variants with large effects highlight three genes. A rare frameshift variant in brain-expressed PRRT2 confers large risk of MA and epilepsy, but not MO. A burden test of rare loss-of-function variants in SCN11A, encoding a neuron-expressed sodium channel with a key role in pain sensation, shows strong protection against migraine. Finally, a rare variant with cis-regulatory effects on KCNK5 confers large protection against migraine and brain aneurysms. Our findings offer new insights with therapeutic potential into the complex biology of migraine and its subtypes.© 2023. The Author(s)."
"434",37881567,NA,NA,"Decades of research have shown that environmental exposures, including self-reports of trauma, are partly heritable. Heritable characteristics may influence exposure to and interpretations of environmental factors. Identifying heritable factors associated with self-reported trauma could improve our understanding of vulnerability to exposure and the interpretation of life events.We used genome-wide association study summary statistics of childhood maltreatment, defined as reporting of abuse (emotional, sexual, and physical) and neglect (emotional and physical) (N = 185,414 participants). We calculated genetic correlations (rg) between reported childhood maltreatment and 576 traits to identify phenotypes that might explain the heritability of reported childhood maltreatment, retaining those with |rg| > 0.25. We specified multiple regression models using genomic structural equation modeling to detect residual genetic variance in childhood maltreatment after accounting for genetically correlated traits.In 2 separate models, the shared genetic component of 12 health and behavioral traits and 7 psychiatric disorders accounted for 59% and 56% of heritability due to common genetic variants (single nucleotide polymorphism-based heritability [h2SNP]) of childhood maltreatment, respectively. Genetic influences on h2SNPof childhood maltreatment were generally accounted for by a shared genetic component across traits. The exceptions to this were general risk tolerance, subjective well-being, posttraumatic stress disorder, and autism spectrum disorder, identified as independent contributors to h2SNPof childhood maltreatment. These 4 traits alone were sufficient to explain 58% of h2SNPof childhood maltreatment.We identified putative traits that reflect h2SNPof childhood maltreatment. Elucidating the mechanisms underlying these associations may improve trauma prevention and posttraumatic intervention strategies.© 2023 The Authors."
"435",37875548,"Genome-wide association study of traumatic brain injury in U.S. military veterans enrolled in the VA million veteran program.","Mol Psychiatry","Large-scale genetic studies of traumatic brain injury (TBI) are lacking; thus, our understanding of the influence of genetic factors on TBI risk and recovery is incomplete. This study aimed to conduct a genome-wide association study (GWAS) of TBI in VA Million Veteran Program (MVP) enrollees. Participants included a multi-ancestry cohort (European, African, and Hispanic ancestries; N = 304,485; 111,494 TBI cases, 192,991 controls). TBI was assessed using MVP survey data and International Classification of Diseases (ICD) codes from the Veterans Health Administration's electronic health record. GWAS was performed using logistic regression in PLINK, and meta-analyzed in METAL. FUMA was used for post-GWAS analysis. Genomic structural equation modeling (gSEM) was conducted to investigate underlying genetic associations with TBI, and bivariate MiXeR was used to estimate phenotype specific and shared polygenicity. SNP-based heritability was 0.060 (SE = 0.004, p = 7.83×10-66). GWAS analysis identified 15 genome-wide significant (GWS) loci at p < 5×10-8. Gene-based analyses revealed 14 gene-wide significant genes; top genes included NCAM1, APOE, FTO, and FOXP2. Gene tissue expression analysis identified the brain as significantly enriched, particularly in the frontal cortex, anterior cingulate cortex, and nucleus accumbens. Genetic correlations with TBI were significant for risk-taking behaviors and psychiatric disorders, but generally not significant for the neurocognitive variables investigated. gSEM analysis revealed stronger associations with risk-taking traits than with psychiatric traits. Finally, the genetic architecture of TBI was similar to polygenic psychiatric disorders. Neurodegenerative disorders including Alzheimer's and Parkinson's disease showed much less polygenicity, however, the proportion of shared variance with TBI was high. This first well-powered GWAS of TBI identified 15 loci including genes relevant to TBI biology, and showed that TBI is a heritable trait with comparable genetic architecture and high genetic correlation with psychiatric traits. Our findings set the stage for future TBI GWASs that focus on injury severity and diversity and chronicity of symptom sequelae.© 2023. This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply."
"436",37873425,"Shared genetic basis informs the roles of polyunsaturated fatty acids in brain disorders.","medRxiv","The neural tissue is rich in polyunsaturated fatty acids (PUFAs), components that are indispensable for the proper functioning of neurons, such as neurotransmission. PUFA nutritional deficiency and imbalance have been linked to a variety of chronic brain disorders, including major depressive disorder (MDD), anxiety, and anorexia. However, the effects of PUFAs on brain disorders remain inconclusive, and the extent of their shared genetic determinants is largely unknown. Here, we used genome-wide association summary statistics to systematically examine the shared genetic basis between six phenotypes of circulating PUFAs (N = 114,999) and 20 brain disorders (N = 9,725-762,917), infer their potential causal relationships, identify colocalized regions, and pinpoint shared genetic variants. Genetic correlation and polygenic overlap analyses revealed a widespread shared genetic basis for 77 trait pairs between six PUFA phenotypes and 16 brain disorders. Two-sample Mendelian randomization analysis indicated potential causal relationships for 16 pairs of PUFAs and brain disorders, including alcohol consumption, bipolar disorder (BIP), and MDD. Colocalization analysis identified 40 shared loci (13 unique) among six PUFAs and ten brain disorders. Twenty-two unique variants were statistically inferred as candidate shared causal variants, including rs1260326 (GCKR), rs174564 (FADS2) and rs4818766 (ADARB1). These findings reveal a widespread shared genetic basis between PUFAs and brain disorders, pinpoint specific shared variants, and provide support for the potential effects of PUFAs on certain brain disorders, especially MDD, BIP, and alcohol consumption."
"437",37864076,"Genome-wide association study in 404,302 individuals identifies 7 significant loci for reaction time variability.","Mol Psychiatry","Reaction time variability (RTV), reflecting fluctuations in response time on cognitive tasks, has been proposed as an endophenotype for many neuropsychiatric disorders. There have been no large-scale genome-wide association studies (GWAS) of RTV and little is known about its genetic underpinnings. Here, we used data from the UK Biobank to conduct a GWAS of RTV in participants of white British ancestry (n = 404,302) as well as a trans-ancestry GWAS meta-analysis (n = 44,873) to assess replication. We found 161 genome-wide significant single nucleotide polymorphisms (SNPs) distributed across 7 genomic loci in our discovery GWAS. Functional annotation of the variants implicated genes involved in synaptic function and neural development. The SNP-based heritability (h2SNP) estimate for RTV was 3%. We investigated genetic correlations between RTV and selected neuropsychological traits using linkage disequilibrium score regression, and found significant correlations with several traits, including a positive correlation with mean reaction time and schizophrenia. Despite the high genetic correlation between RTV and mean reaction time, we demonstrate distinctions in the genetic underpinnings of these traits. Lastly, we assessed the predictive ability of a polygenic score (PGS) for RTV, calculated using PRSice and PRS-CS, and found that the RTV-PGS significantly predicted RTV in independent cohorts, but that the generalisability to other ancestry groups was poor. These results identify genetic underpinnings of RTV, and support the use of RTV as an endophenotype for neurological and psychiatric disorders.© 2023. The Author(s)."
"438",37844115,"Genome wide association joint analysis reveals 99 risk loci for pain susceptibility and pleiotropic relationships with psychiatric, metabolic, and immunological traits.","PLoS Genet","Chronic pain is at epidemic proportions in the United States, represents a significant burden on our public health system, and is coincident with a growing opioid crisis. While numerous genome-wide association studies have been reported for specific pain-related traits, many of these studies were underpowered, and the genetic relationship among these traits remains poorly understood. Here, we conducted a joint analysis of genome-wide association study summary statistics from seventeen pain susceptibility traits in the UK Biobank. This analysis revealed 99 genome-wide significant risk loci, 65 of which overlap loci identified in earlier studies. The remaining 34 loci are novel. We applied leave-one-trait-out meta-analyses to evaluate the influence of each trait on the joint analysis, which suggested that loci fall into four categories: loci associated with nearly all pain-related traits; loci primarily associated with a single trait; loci associated with multiple forms of skeletomuscular pain; and loci associated with headache-related pain. Overall, 664 genes were mapped to the 99 loci by genomic proximity, eQTLs, and chromatin interaction and ~15% of these genes showed differential expression in individuals with acute or chronic pain compared to healthy controls. Risk loci were enriched for genes involved in neurological and inflammatory pathways. Genetic correlation and two-sample Mendelian randomization indicated that psychiatric, metabolic, and immunological traits mediate some of these effects.Copyright: © 2023 Mocci et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
"439",37841839,"Genetic overlap between Alzheimer's disease and immune-mediated diseases: An atlas of shared genetic determinants and biological convergence.","Res Sq","The occurrence of immune disease comorbidities in Alzheimer's disease (AD) has been observed in both epidemiological and molecular studies, suggesting a neuroinflammatory basis in AD. However, their shared genetic components have not been systematically studied. Here, we composed an atlas of the shared genetic associations between 11 immune-mediated diseases and AD by analyzing genome-wide association studies (GWAS) summary statistics. Our results unveiled a significant genetic overlap between AD and 11 individual immune-mediated diseases despite negligible genetic correlations, suggesting a complex shared genetic architecture distributed across the genome. The shared loci between AD and immune-mediated diseases implicated several genes, includingGRAMD1B, FUT2, ADAMTS4, HBEGF, WNT3, TSPAN14, DHODH, ABCB9andTNIP1, all of which are protein-coding genes and thus potential drug targets. Top biological pathways enriched with these identified shared genes were related to the immune system and cell adhesion. In addition,in silicosingle-cell analyses showed enrichment of immune and brain cells, including neurons and microglia. In summary, our results suggest a genetic relationship between AD and the 11 immune-mediated diseases, pinpointing the existence of a shared however non-causal genetic basis. These identified protein-coding genes have the potential to serve as a novel path to therapeutic interventions for both AD and immune-mediated diseases and their comorbidities."
"440",37833753,"Identification of the causal relationship between sleep quality, insomnia, and oral ulcers.","BMC Oral Health","Multiple epidemiological studies have posited a potential association between sleep quality and the risk of oral diseases, yet the resulting conclusions have remained contentious, and the presence of a causal link remains equivocal. In this study, we aimed to investigate the causal relationship between sleep duration, insomnia, and common oral diseases.We utilized genetic correlation and two-sample Mendelian randomization analyses based on summary statistics from genome-wide association studies of sleep duration (N = 460,099), insomnia (N = 462,341), mouth ulcer (N = 385,026), oral cavity cancer (N = 4,151), and periodontal disease (N = 527,652).Our results revealed a negative genetic correlation between sleep duration and mouth ulcer (genetic correlation: -0.09, P = 0.007), while a positive genetic correlation between insomnia and mouth ulcer was observed (genetic correlation: 0.18, P = 2.51E-06). Furthermore, we demonstrated that longer sleep duration is significantly associated with a reduced risk of mouth ulcers (OR: 0.67, 95% CI: 0.54-0.83, P = 2.84E-04), whereas insomnia is nominally associated with an increased risk of mouth ulcers (OR: 1.40, 95% CI: 1.01-1.95, P = 0.044). In contrast, no significant association was detected between sleep quality and periodontal disease or oral cavity cancer.This work provides robust evidence to support the notion that enhanced sleep quality may confer a decreased risk of oral ulcers, thereby bearing considerable clinical relevance.© 2023. BioMed Central Ltd., part of Springer Nature."
"441",37828025,"ADRA2A and IRX1 are putative risk genes for Raynaud's phenomenon.","Nat Commun","Raynaud's phenomenon (RP) is a common vasospastic disorder that causes severe pain and ulcers, but despite its high reported heritability, no causal genes have been robustly identified. We conducted a genome-wide association study including 5,147 RP cases and 439,294 controls, based on diagnoses from electronic health records, and identified three unreported genomic regions associated with the risk of RP (p < 5 × 10-8). We prioritized ADRA2A (rs7090046, odds ratio (OR) per allele: 1.26; 95%-CI: 1.20-1.31; p < 9.6 × 10-27) and IRX1 (rs12653958, OR: 1.17; 95%-CI: 1.12-1.22, p < 4.8 × 10-13) as candidate causal genes through integration of gene expression in disease relevant tissues. We further identified a likely causal detrimental effect of low fasting glucose levels on RP risk (rG = -0.21; p-value = 2.3 × 10-3), and systematically highlighted drug repurposing opportunities, like the antidepressant mirtazapine. Our results provide the first robust evidence for a strong genetic contribution to RP and highlight a so far underrated role of α2A-adrenoreceptor signalling, encoded at ADRA2A, as a possible mechanism for hypersensitivity to catecholamine-induced vasospasms.© 2023. Springer Nature Limited."
"442",37824674,"Single-cell DNA methylation and 3D genome architecture in the human brain.","Science","Delineating the gene-regulatory programs underlying complex cell types is fundamental for understanding brain function in health and disease. Here, we comprehensively examined human brain cell epigenomes by probing DNA methylation and chromatin conformation at single-cell resolution in 517 thousand cells (399 thousand neurons and 118 thousand non-neurons) from 46 regions of three adult male brains. We identified 188 cell types and characterized their molecular signatures. Integrative analyses revealed concordant changes in DNA methylation, chromatin accessibility, chromatin organization, and gene expression across cell types, cortical areas, and basal ganglia structures. We further developed single-cell methylation barcodes that reliably predict brain cell types using the methylation status of select genomic sites. This multimodal epigenomic brain cell atlas provides new insights into the complexity of cell-type-specific gene regulation in adult human brains."
"443",37824614,"Multi-omic profiling of the developing human cerebral cortex at the single-cell level.","Sci Adv","The cellular complexity of the human brain is established via dynamic changes in gene expression throughout development that is mediated, in part, by the spatiotemporal activity of cis-regulatory elements (CREs). We simultaneously profiled gene expression and chromatin accessibility in 45,549 cortical nuclei across six broad developmental time points from fetus to adult. We identified cell type-specific domains in which chromatin accessibility is highly correlated with gene expression. Differentiation pseudotime trajectory analysis indicates that chromatin accessibility at CREs precedes transcription and that dynamic changes in chromatin structure play a critical role in neuronal lineage commitment. In addition, we mapped cell type-specific and temporally specific genetic loci implicated in neuropsychiatric traits, including schizophrenia and bipolar disorder. Together, our results describe the complex regulation of cell composition at critical stages in lineage determination and shed light on the impact of spatiotemporal alterations in gene expression on neuropsychiatric disease."
"444",37815754,"The Causal Impact of the Gut Microbiota on Respiratory Tuberculosis Susceptibility.","Infect Dis Ther","Recent cross-sectional research has demonstrated a substantial link between tuberculosis (TB) and gut microbiota. Nevertheless, the causal impact of the gut microbiota on TB susceptibility in humans remains unknown.The Mendelian randomization (MR) method was utilized for investigating the causality between them. The main method used for MR analysis was the inverse variance weighted (IVW) test, with the MR-Egger, weighted median, weighted mode, and simple median methods serving as supplements. And several sensitivity tests were carried out to validate the MR findings.The IVW outcomes suggested that three bacterial traits exhibited associations with susceptibility to respiratory TB after Bonferroni correction, namely Lachnospiraceae UCG010 (odds ratio [OR] 1.73, 95% confidence interval [CI] 1.17-2.55, P = 0.005), Eubacterium (brachy group) (OR 1.33, 95% CI 1.07-1.65, P = 0.009), and Ruminococcaceae UCG005 (OR 0.71, 95% CI 0.52-0.98, P = 0.034). Sensitivity analyses demonstrated that horizontal pleiotropy and heterogeneity were absent, thereby guaranteeing the reliability of the results.This research sheds light on the causal impact of gut microbiota on respiratory tuberculosis susceptibility, improving our knowledge of therapeutic strategies for managing TB.© 2023. The Author(s)."
"445",37814277,"Low levels of small HDL particles predict but do not influence risk of sepsis.","Crit Care","Low levels of high-density lipoprotein (HDL) cholesterol have been associated with higher rates and severity of infection. Alterations in inflammatory mediators and infection are associated with alterations in HDL cholesterol. It is unknown whether the association between HDL and infection is present for all particle sizes, and whether the observed associations are confounded by IL-6 signalling.In the UK Biobank, ~ 270,000 individuals have data on HDL subclasses derived from nuclear magnetic resonance analysis. We estimated the association of particle count of total HDL and HDL subclasses (small, medium, large, and extra-large HDL) with sepsis, sepsis-related death, and critical care admission in a Cox regression model. We subsequently utilised genetic data from UK Biobank and FinnGen to perform Mendelian randomisation (MR) of each HDL subclass and sepsis to test for a causal relationship. Finally, we explored the role of IL-6 signalling as a potential causal driver of changes in HDL subclasses.In observational analyses, higher particle count of small HDL was associated with protection from sepsis (Hazard ratio, HR 0.80; 95% CI 0.74-0.86, p = 4 × 10-9comparing Quartile 4, highest quartile of HDL to Quartile 1, lowest quartile of HDL), sepsis-related death (HR 0.80; 95% CI 0.74-0.86, p = 2 × 10-4), and critical care admission with sepsis (HR 0.72 95% CI 0.60-0.85, p = 2 × 10-4). Parallel associations with other HDL subclasses were likely driven by changes in the small HDL compartment. MR analyses did not strongly support causality of small HDL particle count on sepsis incidence (Odds ratio, OR 0.98; 95% CI 0.89-1.07, p = 0.6) or death (OR 0.94, 95% CI 0.75-1.17, p = 0.56), although the estimate on critical care admission with sepsis supported protection (OR 0.73, 95% CI 0.57-0.95, p = 0.02). Bidirectional MR analyses suggested that increased IL-6 signalling was associated with reductions in both small (beta on small HDL particle count - 0.16, 95% CI - 0.10 to - 0.21 per natural log change in SD-scaled CRP, p = 9 × 10-8).and total HDL particle count (beta - 0.13, 95% CI - 0.09 to - 0.17, p = 7 × 10-10), but that the reverse effect of HDL on IL-6 signalling was largely null.Low number of small HDL particles are associated with increased hazard of sepsis, sepsis-related death, and sepsis-related critical care admission. However, genetic analyses did not strongly support this as causal. Instead, we demonstrate that increased IL-6 signalling, which is known to alter infection risk, could confound associations with reduced HDL particle count, and suggest this may explain part of the observed association between (small) HDL particle count and sepsis.© 2023. BioMed Central Ltd., part of Springer Nature."
"446",37813672,"Dissecting Causal Relationships Between Gut Microbiota, Blood Metabolites, and Stroke: A Mendelian Randomization Study.","J Stroke","We investigated the causal relationships between the gut microbiota (GM), stroke, and potential metabolite mediators using Mendelian randomization (MR).We leveraged the summary statistics of GM (n=18,340 in the MiBioGen consortium), blood metabolites (n=115,078 in the UK Biobank), and stroke (cases n=60,176 and controls n=1,310,725 in the Global Biobank Meta-Analysis Initiative) from the largest genome-wide association studies to date. We performed bidirectional MR analyses to explore the causal relationships between the GM and stroke, and two mediation analyses, two-step MR and multivariable MR, to discover potential mediating metabolites.Ten taxa were causally associated with stroke, and stroke led to changes in 27 taxa. In the two-step MR, Bifidobacteriales order, Bifidobacteriaceae family, Desulfovibrio genus, apolipoprotein A1 (ApoA1), phospholipids in high-density lipoprotein (HDL_PL), and the ratio of apolipoprotein B to ApoA1 (ApoB/ApoA1) were causally associated with stroke (all P<0.044). The causal associations between Bifidobacteriales order, Bifidobacteriaceae family and stroke were validated using the weighted median method in an independent cohort. The three GM taxa were all positively associated with ApoA1 and HDL_PL, whereas Desulfovibrio genus was negatively associated with ApoB/ApoA1 (all P<0.010). Additionally, the causal associations between the three GM taxa and ApoA1 remained significant after correcting for the false discovery rate (all q-values <0.027). Multivariable MR showed that the associations between Bifidobacteriales order, Bifidobacteriaceae family and stroke were mediated by ApoA1 and HDL_PL, each accounting for 6.5% (P=0.028) and 4.6% (P=0.033); the association between Desulfovibrio genus and stroke was mediated by ApoA1, HDL_PL, and ApoB/ApoA1, with mediated proportions of 7.6% (P=0.019), 4.2% (P=0.035), and 9.1% (P=0.013), respectively.The current MR study provides evidence supporting the causal relationships between several specific GM taxa and stroke and potential mediating metabolites."
"447",37803156,"Phenotypic but not genetically predicted heart rate variability associated with all-cause mortality.","Commun Biol","Low heart rate variability (HRV) has been widely reported as a predictor for increased mortality. However, the molecular mechanisms are poorly understood. Therefore, this study aimed to identify novel genetic loci associated with HRV and assess the association of phenotypic HRV and genetically predicted HRV with mortality. In a GWAS of 46,075 European ancestry individuals from UK biobank, we identified 17 independent genome-wide significant genetic variants in 16 loci associated with HRV traits. Notably, eight of these loci (RNF220, GNB4, LINCR-002, KLHL3/HNRNPA0, CHRM2, KCNJ5, MED13L, and C160rf72) have not been reported previously. In a prospective phenotypic relationship between HRV and mortality during a median follow-up of seven years, individuals with lower HRV had higher risk of dying from any cause. Genetically predicted HRV, as determined by the genetic risk scores, was not associated with mortality. To the best of our knowledge, the findings provide novel biological insights into the mechanisms underlying HRV. These results also underline the role of the cardiac autonomic nervous system, as indexed by HRV, in predicting mortality.© 2023. Springer Nature Limited."
"448",37798380,NA,NA,"A well-functioning placenta is essential for fetal and maternal health throughout pregnancy. Using placental weight as a proxy for placental growth, we report genome-wide association analyses in the fetal (n = 65,405), maternal (n = 61,228) and paternal (n = 52,392) genomes, yielding 40 independent association signals. Twenty-six signals are classified as fetal, four maternal and three fetal and maternal. A maternal parent-of-origin effect is seen near KCNQ1. Genetic correlation and colocalization analyses reveal overlap with birth weight genetics, but 12 loci are classified as predominantly or only affecting placental weight, with connections to placental development and morphology, and transport of antibodies and amino acids. Mendelian randomization analyses indicate that fetal genetically mediated higher placental weight is causally associated with preeclampsia risk and shorter gestational duration. Moreover, these analyses support the role of fetal insulin in regulating placental weight, providing a key link between fetal and placental growth.© 2023. The Author(s)."
"449",37798367,NA,NA,"Short sleep is held to cause poorer brain health, but is short sleep associated with higher rates of brain structural decline? Analysing 8,153 longitudinal MRIs from 3,893 healthy adults, we found no evidence for an association between sleep duration and brain atrophy. In contrast, cross-sectional analyses (51,295 observations) showed inverse U-shaped relationships, where a duration of 6.5 (95% confidence interval, (5.7, 7.3)) hours was associated with the thickest cortex and largest volumes relative to intracranial volume. This fits converging evidence from research on mortality, health and cognition that points to roughly seven hours being associated with good health. Genome-wide association analyses suggested that genes associated with longer sleep for below-average sleepers were linked to shorter sleep for above-average sleepers. Mendelian randomization did not yield evidence for causal impacts of sleep on brain structure. The combined results challenge the notion that habitual short sleep causes brain atrophy, suggesting that normal brains promote adequate sleep duration-which is shorter than current recommendations.© 2023. The Author(s)."
"450",37794188,"Large-scale plasma proteomics comparisons through genetics and disease associations.","Nature","High-throughput proteomics platforms measuring thousands of proteins in plasma combined with genomic and phenotypic information have the power to bridge the gap between the genome and diseases. Here we performed association studies of Olink Explore 3072 data generated by the UK Biobank Pharma Proteomics Project1on plasma samples from more than 50,000 UK Biobank participants with phenotypic and genotypic data, stratifying on British or Irish, African and South Asian ancestries. We compared the results with those of a SomaScan v4 study on plasma from 36,000 Icelandic people2, for 1,514 of whom Olink data were also available. We found modest correlation between the two platforms. Although cis protein quantitative trait loci were detected for a similar absolute number of assays on the two platforms (2,101 on Olink versus 2,120 on SomaScan), the proportion of assays with such supporting evidence for assay performance was higher on the Olink platform (72% versus 43%). A considerable number of proteins had genomic associations that differed between the platforms. We provide examples where differences between platforms may influence conclusions drawn from the integration of protein levels with the study of diseases. We demonstrate how leveraging the diverse ancestries of participants in the UK Biobank helps to detect novel associations and refine genomic location. Our results show the value of the information provided by the two most commonly used high-throughput proteomics platforms and demonstrate the differences between them that at times provides useful complementarity.© 2023. The Author(s)."
