present,ec,date,type,pmid,title,source,abstract
,No,,methods,36047742,An evaluation of the genome-wide false positive rates of common methods for identifying differentially methylated regions using illumina methylation arrays.,Epigenetics,"Differentially methylated regions (DMRs) are genomic regions with specific methylation patterns across multiple loci that are associated with a phenotype. We examined the genome-wide false positive (GFP) rates of five widely used DMR methods: comb-p, Bumphunter, DMRcate, mCSEA and coMethDMR using both Illumina HumanMethylation450 (450 K) and MethylationEPIC (EPIC) data and simulated continuous and dichotomous null phenotypes (i.e., generated independently of methylation data). coMethDMR provided well-controlled GFP rates (~5%) except when analysing skewed continuous phenotypes. DMRcate generally had well-controlled GFP rates when applied to 450 K data except for the skewed continuous phenotype and EPIC data only for the normally distributed continuous phenotype. GFP rates for mCSEA were at least 0.096 and comb-p yielded GFP rates above 0.34. Bumphunter had high GFP rates of at least 0.35 across conditions, reaching as high as 0.95. Analysis of the performance of these methods in specific regions of the genome found that regions with higher correlation across loci had higher regional false positive rates on average across methods. Based on the false positive rates, coMethDMR is the most recommended analysis method, and DMRcate had acceptable performance when analysing 450 K data. However, as both could display higher levels of FPs for skewed continuous distributions, a normalizing transformation of skewed continuous phenotypes is suggested. This study highlights the importance of genome-wide simulations when evaluating the performance of DMR-analysis methods."
,No,,methods,36040576,Assessing Differential Variability of High-Throughput DNA Methylation Data.,Curr Environ Health Rep,"DNA methylation (DNAm) is essential to human development and plays an important role as a biomarker due to its susceptibility to environmental exposures. This article reviews the current state of statistical methods developed for differential variability analysis focusing on DNAm data.With the advent of high-throughput technologies allowing for highly reliable and cost-effective measurements of DNAm, many epigenome studies have analyzed DNAm levels to uncover biological mechanisms underlying past environmental exposures and subsequent health outcomes. These studies typically focused on detecting sites or regions which differ in their mean DNAm levels among exposure groups. However, more recent studies highlighted the importance of identifying differentially variable sites or regions as biologically relevant features. Currently, the analysis of differentially variable DNAm sites has not yet gained widespread adoption in environmental studies; yet, it is important to examine the effects of environmental exposures on inter-individual epigenetic variability. In this article, we describe six of the most widely used statistical approaches for analyzing differential variability of DNAm levels and provide a discussion of their advantages and current limitations.© 2022. The Author(s), under exclusive licence to Springer Nature Switzerland AG."
x,No,,methods,35948928,Identification of influential probe types in epigenetic predictions of human traits: implications for microarray design.,Clin Epigenetics,"CpG methylation levels can help to explain inter-individual differences in phenotypic traits. Few studies have explored whether identifying probe subsets based on their biological and statistical properties can maximise predictions whilst minimising array content. Variance component analyses and penalised regression (epigenetic predictors) were used to test the influence of (i) the number of probes considered, (ii) mean probe variability and (iii) methylation QTL status on the variance captured in eighteen traits by blood DNA methylation. Training and test samples comprised ≤ 4450 and ≤ 2578 unrelated individuals from Generation Scotland, respectively.As the number of probes under consideration decreased, so too did the estimates from variance components and prediction analyses. Methylation QTL status and mean probe variability did not influence variance components. However, relative effect sizes were 15% larger for epigenetic predictors based on probes with known or reported methylation QTLs compared to probes without reported methylation QTLs. Relative effect sizes were 45% larger for predictors based on probes with mean Beta-values between 10 and 90% compared to those based on hypo- or hypermethylated probes (Beta-value ≤ 10% or ≥ 90%).Arrays with fewer probes could reduce costs, leading to increased sample sizes for analyses. Our results show that reducing array content can restrict prediction metrics and careful attention must be given to the biological and distribution properties of CpG probes in array content selection.© 2022. The Author(s)."
,No,,ml,36011003,Artificial Intelligence Predictive Models of Response to Cytotoxic Chemotherapy Alone or Combined to Targeted Therapy for Metastatic Colorectal Cancer Patients: A Systematic Review and Meta-Analysis.,Cancers (Basel),"Tailored treatments for metastatic colorectal cancer (mCRC) have not yet completely evolved due to the variety in response to drugs. Therefore, artificial intelligence has been recently used to develop prognostic and predictive models of treatment response (either activity/efficacy or toxicity) to aid in clinical decision making. In this systematic review, we have examined the ability of learning methods to predict response to chemotherapy alone or combined with targeted therapy in mCRC patients by targeting specific narrative publications in Medline up to April 2022 to identify appropriate original scientific articles. After the literature search, 26 original articles met inclusion and exclusion criteria and were included in the study. Our results show that all investigations conducted on this field have provided generally promising results in predicting the response to therapy or toxic side-effects. By a meta-analytic approach we found that the overall weighted means of the area under the receiver operating characteristic (ROC) curve (AUC) were 0.90, 95% C.I. 0.80-0.95 and 0.83, 95% C.I. 0.74-0.89 in training and validation sets, respectively, indicating a good classification performance in discriminating response vs. non-response. The calculation of overall HR indicates that learning models have strong ability to predict improved survival. Lastly, the delta-radiomics and the 74 gene signatures were able to discriminate response vs. non-response by correctly identifying up to 99% of mCRC patients who were responders and up to 100% of patients who were non-responders. Specifically, when we evaluated the predictive models with tests reaching 80% sensitivity (SE) and 90% specificity (SP), the delta radiomics showed an SE of 99% and an SP of 94% in the training set and an SE of 85% and SP of 92 in the test set, whereas for the 74 gene signatures the SE was 97.6% and the SP 100% in the training set."
x,No,,ml,35933478,Developing machine learning algorithms for dynamic estimation of progression during active surveillance for prostate cancer.,NPJ Digit Med,"Active Surveillance (AS) for prostate cancer is a management option that continually monitors early disease and considers intervention if progression occurs. A robust method to incorporate ""live"" updates of progression risk during follow-up has hitherto been lacking. To address this, we developed a deep learning-based individualised longitudinal survival model using Dynamic-DeepHit-Lite (DDHL) that learns data-driven distribution of time-to-event outcomes. Further refining outputs, we used a reinforcement learning approach (Actor-Critic) for temporal predictive clustering (AC-TPC) to discover groups with similar time-to-event outcomes to support clinical utility. We applied these methods to data from 585 men on AS with longitudinal and comprehensive follow-up (median 4.4 years). Time-dependent C-indices and Brier scores were calculated and compared to Cox regression and landmarking methods. Both Cox and DDHL models including only baseline variables showed comparable C-indices but the DDHL model performance improved with additional follow-up data. With 3 years of data collection and 3 years follow-up the DDHL model had a C-index of 0.79 (±0.11) compared to 0.70 (±0.15) for landmarking Cox and 0.67 (±0.09) for baseline Cox only. Model calibration was good across all models tested. The AC-TPC method further discovered 4 distinct outcome-related temporal clusters with distinct progression trajectories. Those in the lowest risk cluster had negligible progression risk while those in the highest cluster had a 50% risk of progression by 5 years. In summary, we report a novel machine learning approach to inform personalised follow-up during active surveillance which improves predictive power with increasing data input over time.© 2022. The Author(s)."
x,No,,ml,35785523,Interpretable Machine Learning Models to Predict the Resistance of Breast Cancer Patients to Doxorubicin from Their microRNA Profiles.,Adv Sci (Weinh),"Doxorubicin is a common treatment for breast cancer. However, not all patients respond to this drug, which sometimes causes life-threatening side effects. Accurately anticipating doxorubicin-resistant patients would therefore permit to spare them this risk while considering alternative treatments without delay. Stratifying patients based on molecular markers in their pretreatment tumors is a promising approach to advance toward this ambitious goal, but single-gene gene markers such as HER2 expression have not shown to be sufficiently predictive. The recent availability of matched doxorubicin-response and diverse molecular profiles across breast cancer patients permits now analysis at a much larger scale. 16 machine learning algorithms and 8 molecular profiles are systematically evaluated on the same cohort of patients. Only 2 of the 128 resulting models are substantially predictive, showing that they can be easily missed by a standard-scale analysis. The best model is classification and regression tree (CART) nonlinearly combining 4 selected miRNA isoforms to predict doxorubicin response (median Matthew correlation coefficient (MCC) and area under the curve (AUC) of 0.56 and 0.80, respectively). By contrast, HER2 expression is significantly less predictive (median MCC and AUC of 0.14 and 0.57, respectively). As the predictive accuracy of this CART model increases with larger training sets, its update with future data should result in even better accuracy.© 2022 The Authors. Advanced Science published by Wiley-VCH GmbH."
,No,,ml,36010273,Big Data in Laboratory Medicine-FAIR Quality for AI?,Diagnostics (Basel),"Laboratory medicine is a digital science. Every large hospital produces a wealth of data each day-from simple numerical results from, e.g., sodium measurements to highly complex output of ""-omics"" analyses, as well as quality control results and metadata. Processing, connecting, storing, and ordering extensive parts of these individual data requires Big Data techniques. Whereas novel technologies such as artificial intelligence and machine learning have exciting application for the augmentation of laboratory medicine, the Big Data concept remains fundamental for any sophisticated data analysis in large databases. To make laboratory medicine data optimally usable for clinical and research purposes, they need to be FAIR: findable, accessible, interoperable, and reusable. This can be achieved, for example, by automated recording, connection of devices, efficient ETL (Extract, Transform, Load) processes, careful data governance, and modern data security solutions. Enriched with clinical data, laboratory medicine data allow a gain in pathophysiological insights, can improve patient care, or can be used to develop reference intervals for diagnostic purposes. Nevertheless, Big Data in laboratory medicine do not come without challenges: the growing number of analyses and data derived from them is a demanding task to be taken care of. Laboratory medicine experts are and will be needed to drive this development, take an active role in the ongoing digitalization, and provide guidance for their clinical colleagues engaging with the laboratory data in research."
,No,,nanopore,36030244,Epigenetic tumor heterogeneity in the era of single-cell profiling with nanopore sequencing.,Clin Epigenetics,"Nanopore sequencing has brought the technology to the next generation in the science of sequencing. This is achieved through research advancing on: pore efficiency, creating mechanisms to control DNA translocation, enhancing signal-to-noise ratio, and expanding to long-read ranges. Heterogeneity regarding epigenetics would be broad as mutations in the epigenome are sensitive to cause new challenges in cancer research. Epigenetic enzymes which catalyze DNA methylation and histone modification are dysregulated in cancer cells and cause numerous heterogeneous clones to evolve. Detection of this heterogeneity in these clones plays an indispensable role in the treatment of various cancer types. With single-cell profiling, the nanopore sequencing technology could provide a simple sequence at long reads and is expected to be used soon at the bedside or doctor's office. Here, we review the advancements of nanopore sequencing and its use in the detection of epigenetic heterogeneity in cancer.© 2022. The Author(s)."
,No,,organoids,35999641,DNA methylation analysis of normal colon organoids from familial adenomatous polyposis patients reveals novel insight into colon cancer development.,Clin Epigenetics,"Familial adenomatous polyposis (FAP) is an inherited colorectal cancer (CRC) syndrome resulting from germ line mutations in the adenomatous polyposis coli (APC) gene. While FAP accounts for less than 1% of all CRC cases, loss of APC expression is seen in > 80% of non-hereditary CRCs. To better understand molecular mechanisms underlying APC-driven CRC, we performed an epigenome-wide analysis of colon organoids derived from normal-appearing colons of FAP patients versus healthy subjects to identify differentially methylated regions (DMRs) that may precede the onset of CRC.We identified 358 DMRs when comparing colon organoids of FAP patients to those of healthy subjects (FDR < 0.05, |mean beta difference| = 5%). Of these, nearly 50% of DMRs were also differentially methylated in at least one of three CRC tumor and normal adjacent tissue (NAT) cohorts (TCGA-COAD, GSE193535 and ColoCare). Moreover, 27 of the DMRs mapped to CRC genome-wide association study (GWAS) loci. We provide evidence suggesting that some of these DMRs led to significant differences in gene expression of adjacent genes using quantitative PCR. For example, we identified significantly greater expression of five genes: Kazal-type serine peptidase inhibitor domain 1 (KAZALD1, P = 0.032), F-Box and leucine-rich repeat protein 8 (FBXL8, P = 0.036), TRIM31 antisense RNA 1 (TRIM31-AS1, P = 0.036), Fas apoptotic inhibitory molecule 2 (FAIM2, P = 0.049) and (Collagen beta (1-0)galactosyltransferase 2 (COLGALT2, P = 0.049). Importantly, both FBXL8 and TRIM31-AS1 were also significantly differentially expressed in TCGA-COAD tumor versus matched NAT, supporting a role for these genes in CRC tumor development.We performed the first DNA methylome-wide analysis of normal colon organoids derived from FAP patients compared to those of healthy subjects. Our results reveal that normal colon organoids from FAP patients exhibit extensive epigenetic differences compared to those of healthy subjects that appear similar to those exhibited in CRC tumor. Our analyses therefore identify DMRs and candidate target genes that are potentially important in CRC tumor development in FAP, with potential implications for non-hereditary CRC.© 2022. The Author(s)."
,No,,mqtl,35969790,Deep learning predicts DNA methylation regulatory variants in the human brain and elucidates the genetics of psychiatric disorders.,Proc Natl Acad Sci U S A,"There is growing evidence for the role of DNA methylation (DNAm) quantitative trait loci (mQTLs) in the genetics of complex traits, including psychiatric disorders. However, due to extensive linkage disequilibrium (LD) of the genome, it is challenging to identify causal genetic variations that drive DNAm levels by population-based genetic association studies. This limits the utility of mQTLs for fine-mapping risk loci underlying psychiatric disorders identified by genome-wide association studies (GWAS). Here we present INTERACT, a deep learning model that integrates convolutional neural networks with transformer, to predict effects of genetic variations on DNAm levels at CpG sites in the human brain. We show that INTERACT-derived DNAm regulatory variants are not confounded by LD, are concentrated in regulatory genomic regions in the human brain, and are convergent with mQTL evidence from genetic association analysis. We further demonstrate that predicted DNAm regulatory variants are enriched for heritability of brain-related traits and improve polygenic risk prediction for schizophrenia across diverse ancestry samples. Finally, we applied predicted DNAm regulatory variants for fine-mapping schizophrenia GWAS risk loci to identify potential novel risk genes. Our study shows the power of a deep learning approach to identify functional regulatory variants that may elucidate the genetic basis of complex traits."
,No,,prediction,36008412,Methylation risk scores are associated with a collection of phenotypes within electronic health record systems.,NPJ Genom Med,"Inference of clinical phenotypes is a fundamental task in precision medicine, and has therefore been heavily investigated in recent years in the context of electronic health records (EHR) using a large arsenal of machine learning techniques, as well as in the context of genetics using polygenic risk scores (PRS). In this work, we considered the epigenetic analog of PRS, methylation risk scores (MRS), a linear combination of methylation states. We measured methylation across a large cohort (n = 831) of diverse samples in the UCLA Health biobank, for which both genetic and complete EHR data are available. We constructed MRS for 607 phenotypes spanning diagnoses, clinical lab tests, and medication prescriptions. When added to a baseline set of predictive features, MRS significantly improved the imputation of 139 outcomes, whereas the PRS improved only 22 (median improvement for methylation 10.74%, 141.52%, and 15.46% in medications, labs, and diagnosis codes, respectively, whereas genotypes only improved the labs at a median increase of 18.42%). We added significant MRS to state-of-the-art EHR imputation methods that leverage the entire set of medical records, and found that including MRS as a medical feature in the algorithm significantly improves EHR imputation in 37% of lab tests examined (median R2increase 47.6%). Finally, we replicated several MRS in multiple external studies of methylation (minimum p-value of 2.72 × 10-7) and replicated 22 of 30 tested MRS internally in two separate cohorts of different ethnicity. Our publicly available results and weights show promise for methylation risk scores as clinical and scientific tools.© 2022. The Author(s)."
x,No,,prediction,36013215,The False Dawn of Polygenic Risk Scores for Human Disease Prediction.,J Pers Med,"Polygenic risk scores (PRSs) are being constructed for many diseases and are presented today as a promising avenue in the field of human genetics. These scores aim at predicting the risk of developing a disease by leveraging the many genome-wide association studies (GWAS) conducted during the two last decades. Important investments are being made to improve score estimates by increasing GWAS sample sizes, by developing more sophisticated methods, and by proposing different corrections for potential biases. PRSs have entered the market with direct-to-consumer companies proposing to compute them from saliva samples and even recently to help parents select the healthiest embryos. In this paper, we recall how PRSs arose and question the credit they are given by revisiting underlying assumptions in light of the history of human genetics and by comparing them with estimated breeding values (EBVs) used for selection in livestock."
x,No,,prediction,35858592,Genetic and environmental variation impact transferability of polygenic risk scores.,Cell Rep Med,"Even when polygenic risk scores (PRSs) are trained in African ancestral populations, Kamiza and colleagues showed that genetic and environmental variation within sub-Saharan African populations impacts prediction performance, highlighting the challenges of clinical implementation of PRSs for risk assessment.Copyright © 2022 The Author(s). Published by Elsevier Inc. All rights reserved."
,No,,prediction,36034882,Redefining Age-Based Screening and Diagnostic Guidelines: An Opportunity for Biological Aging Clocks in Clinical Medicine?,Lancet Healthy Longev,NA
,No,,prediction,35966405,Interpreting Neural Networks for Biological Sequences by Learning Stochastic Masks.,Nat Mach Intell,"Sequence-based neural networks can learn to make accurate predictions from large biological datasets, but model interpretation remains challenging. Many existing feature attribution methods are optimized for continuous rather than discrete input patterns and assess individual feature importance in isolation, making them ill-suited for interpreting non-linear interactions in molecular sequences. Building on work in computer vision and natural language processing, we developed an approach based on deep learning - Scrambler networks - wherein the most salient sequence positions are identified with learned input masks. Scramblers learn to predict Position-Specific Scoring Matrices (PSSMs) where unimportant nucleotides or residues are scrambled by raising their entropy. We apply Scramblers to interpret the effects of genetic variants, uncover non-linear interactions between cis-regulatory elements, explain binding specificity for protein-protein interactions, and identify structural determinants ofde novodesigned proteins. We show that Scramblers enable efficient attribution across large datasets and result in high-quality explanations, often outperforming state-of-the-art methods."
x,No,,prediction,35945544,A benchmark study of deep learning-based multi-omics data fusion methods for cancer.,Genome Biol,"A fused method using a combination of multi-omics data enables a comprehensive study of complex biological processes and highlights the interrelationship of relevant biomolecules and their functions. Driven by high-throughput sequencing technologies, several promising deep learning methods have been proposed for fusing multi-omics data generated from a large number of samples.In this study, 16 representative deep learning methods are comprehensively evaluated on simulated, single-cell, and cancer multi-omics datasets. For each of the datasets, two tasks are designed: classification and clustering. The classification performance is evaluated by using three benchmarking metrics including accuracy, F1 macro, and F1 weighted. Meanwhile, the clustering performance is evaluated by using four benchmarking metrics including the Jaccard index (JI), C-index, silhouette score, and Davies Bouldin score. For the cancer multi-omics datasets, the methods' strength in capturing the association of multi-omics dimensionality reduction results with survival and clinical annotations is further evaluated. The benchmarking results indicate that moGAT achieves the best classification performance. Meanwhile, efmmdVAE, efVAE, and lfmmdVAE show the most promising performance across all complementary contexts in clustering tasks.Our benchmarking results not only provide a reference for biomedical researchers to choose appropriate deep learning-based multi-omics data fusion methods, but also suggest the future directions for the development of more effective multi-omics data fusion methods. The deep learning frameworks are available at https://github.com/zhenglinyi/DL-mo .© 2022. The Author(s)."
x,No,,proteome,35839778,Pan-cancer proteomic map of 949 human cell lines.,Cancer Cell,"The proteome provides unique insights into disease biology beyond the genome and transcriptome. A lack of large proteomic datasets has restricted the identification of new cancer biomarkers. Here, proteomes of 949 cancer cell lines across 28 tissue types are analyzed by mass spectrometry. Deploying a workflow to quantify 8,498 proteins, these data capture evidence of cell-type and post-transcriptional modifications. Integrating multi-omics, drug response, and CRISPR-Cas9 gene essentiality screens with a deep learning-based pipeline reveals thousands of protein biomarkers of cancer vulnerabilities that are not significant at the transcript level. The power of the proteome to predict drug response is very similar to that of the transcriptome. Further, random downsampling to only 1,500 proteins has limited impact on predictive power, consistent with protein networks being highly connected and co-regulated. This pan-cancer proteomic map (ProCan-DepMapSanger) is a comprehensive resource available at https://cellmodelpassports.sanger.ac.uk.Copyright © 2022 The Authors. Published by Elsevier Inc. All rights reserved."
,No,,transposons,36008480,Mammalian genome innovation through transposon domestication.,Nat Cell Biol,"Since the discovery of transposons, their sheer abundance in host genomes has puzzled many. While historically viewed as largely harmless 'parasitic' DNAs during evolution, transposons are not a mere record of ancient genome invasion. Instead, nearly every element of transposon biology has been integrated into host biology. Here we review how host genome sequences introduced by transposon activities provide raw material for genome innovation and document the distinct evolutionary path of each species.© 2022. Springer Nature Limited."
,No,,validation,35959851,Fine-mapping and replication of EWAS loci harboring putative epigenetic alterations associated with AD neuropathology in a large collection of human brain tissue samples.,Alzheimers Dement,"Our previous epigenome-wide association study (EWAS) of Alzheimer's disease (AD) in human brain identified 71 CpGs associated with AD pathology. However, due to low coverage of the Illumina platform, many important CpGs might have been missed.In a large collection of human brain tissue samples (N = 864), we fine-mapped previous EWAS loci by targeted bisulfite sequencing and examined their associations with AD neuropathology. DNA methylation was also linked to gene expression of the same brain cortex.Our targeted sequencing captured 130 CpGs (∼1.2 kb), 93 of which are novel. Of the 130 CpGs, 57 sites (only 17 included in previous EWAS) and 12 gene regions (e.g., ANK1, BIN1, RHBDF2, SPG7, PODXL) were significantly associated with amyloid load. DNA methylation in some regions was associated with expression of nearby genes.Targeted methylation sequencing can validate previous EWAS loci and discover novel CpGs associated with AD pathology.© 2022 the Alzheimer's Association."
