who,type,pmid,title,source,abstract
,ewas,36609850,Genetic and epigenetic signatures associated with plasma oxytocin levels in children and adolescents with autism spectrum disorder.,Autism Res,"Oxytocin (OT), the brain's most abundant neuropeptide, plays an important role in social salience and motivation. Clinical trials of the efficacy of OT in autism spectrum disorder (ASD) have reported mixed results due in part to ASD's complex etiology. We investigated whether genetic and epigenetic variation contribute to variable endogenous OT levels that modulate sensitivity to OT therapy. To carry out this analysis, we integrated genome-wide profiles of DNA-methylation, transcriptional activity, and genetic variation with plasma OT levels in 290 participants with ASD enrolled in a randomized controlled trial of OT. Our analysis identified genetic variants with novel association with plasma OT, several of which reside in known ASD risk genes. We also show subtle but statistically significant association of plasma OT levels with peripheral transcriptional activity and DNA-methylation profiles across several annotated gene sets. These findings broaden our understanding of the effects of the peripheral oxytocin system and provide novel genetic candidates for future studies to decode the complex etiology of ASD and its interaction with OT signaling and OT-based interventions. LAY SUMMARY: Oxytocin (OT) is an abundant chemical produced by neurons that plays an important role in social interaction and motivation. We investigated whether genetic and epigenetic factors contribute to variable OT levels in the blood. To this, we integrated genetic, gene expression, and non-DNA regulated (epigenetic) signatures with blood OT levels in 290 participants with autism enrolled in an OT clinical trial. We identified genetic association with plasma OT, several of which reside in known autism risk genes. We also show statistically significant association of plasma OT levels with gene expression and epigenetic across several gene pathways. These findings broaden our understanding of the factors that influence OT levels in the blood for future studies to decode the complex presentation of autism and its interaction with OT and OT-based treatment.© 2023 The Authors. Autism Research published by International Society for Autism Research and Wiley Periodicals LLC."
,ewas,36612042,"A Race-Specific, DNA Methylation Analysis of Aging in Normal Rectum: Implications for the Biology of Aging and Its Relationship to Rectal Cancer.",Cancers (Basel),"Approximately 90% of colorectal cancer (CRC) develop over the age of 50, highlighting the important role of aging in CRC risk. African Americans (AAs) shoulder a greater CRC burden than European Americans (EA) and are more likely to develop CRC at a younger age. The effects of aging in AA and EA normal rectal tissue have yet to be defined. Here, we performed epigenome-wide DNA methylation analysis in the first, large-scale biracial cohort of normal rectum (n= 140 samples). We identified increased epigenetic age acceleration in EA than AA rectum (p= 3.91 × 10-4) using linear regression. We also identified differentially methylated regions (DMRs) associated with chronological aging in AA and EA, separately using DMRcate. Next, a consensus set of regions associated with cancer was identified through DMR analysis of two rectal cancer cohorts. The vast majority of AA DMRs were present in our analysis of aging in rectum of EA subjects, though rates of epigenetic drift were significantly greater in AA (p= 1.94 × 10-45). However, 3.66-fold more DMRs were associated with aging in rectum of EA subjects, many of which were also associated with rectal cancer. Our findings reveal a novel relationship between race, age, DNA methylation and rectal cancer risk that warrants further investigation."
,ewas,36617561,Prenatal social support in low-risk pregnancy shapes placental epigenome.,BMC Med,"Poor social support during pregnancy has been linked to inflammation and adverse pregnancy and childhood health outcomes. Placental epigenetic alterations may underlie these links but are still unknown in humans.In a cohort of low-risk pregnant women (n = 301) from diverse ethnic backgrounds, social support was measured using the ENRICHD Social Support Inventory (ESSI) during the first trimester. Placental samples collected at delivery were analyzed for DNA methylation and gene expression using Illumina 450K Beadchip Array and RNA-seq, respectively. We examined association between maternal prenatal social support and DNA methylation in placenta. Associated cytosine-(phosphate)-guanine sites (CpGs) were further assessed for correlation with nearby gene expression in placenta.The mean age (SD) of the women was 27.7 (5.3) years. The median (interquartile range) of ESSI scores was 24 (22-25). Prenatal social support was significantly associated with methylation level at seven CpGs (PFDR < 0.05). The methylation levels at two of the seven CpGs correlated with placental expression of VGF and ILVBL (PFDR < 0.05), genes known to be involved in neurodevelopment and energy metabolism. The genes annotated with the top 100 CpGs were enriched for pathways related to fetal growth, coagulation system, energy metabolism, and neurodevelopment. Sex-stratified analysis identified additional significant associations at nine CpGs in male-bearing pregnancies and 35 CpGs in female-bearing pregnancies.The findings suggest that prenatal social support is linked to placental DNA methylation changes in a low-stress setting, including fetal sex-dependent epigenetic changes. Given the relevance of some of these changes in fetal neurodevelopmental outcomes, the findings signal important methylation targets for future research on molecular mechanisms of effect of the broader social environment on pregnancy and fetal outcomes.NCT00912132 ( ClinicalTrials.gov ).© 2023. This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply."
,ewas,36627699,Cord blood epigenome-wide meta-analysis in six European-based child cohorts identifies signatures linked to rapid weight growth.,BMC Med,"Rapid postnatal growth may result from exposure in utero or early life to adverse conditions and has been associated with diseases later in life and, in particular, with childhood obesity. DNA methylation, interfacing early-life exposures and subsequent diseases, is a possible mechanism underlying early-life programming.Here, a meta-analysis of Illumina HumanMethylation 450K/EPIC-array associations of cord blood DNA methylation at single CpG sites and CpG genomic regions with rapid weight growth at 1 year of age (defined with reference to WHO growth charts) was conducted in six European-based child cohorts (ALSPAC, ENVIRONAGE, Generation XXI, INMA, Piccolipiù, and RHEA, N = 2003). The association of gestational age acceleration (calculated using the Bohlin epigenetic clock) with rapid weight growth was also explored via meta-analysis. Follow-up analyses of identified DNA methylation signals included prediction of rapid weight growth, mediation of the effect of conventional risk factors on rapid weight growth, integration with transcriptomics and metabolomics, association with overweight in childhood (between 4 and 8 years), and comparison with previous findings.Forty-seven CpGs were associated with rapid weight growth at suggestive p-value <1e-05 and, among them, three CpGs (cg14459032, cg25953130 annotated to ARID5B, and cg00049440 annotated to KLF9) passed the genome-wide significance level (p-value <1.25e-07). Sixteen differentially methylated regions (DMRs) were identified as associated with rapid weight growth at false discovery rate (FDR)-adjusted/Siddak p-values < 0.01. Gestational age acceleration was associated with decreasing risk of rapid weight growth (p-value = 9.75e-04). Identified DNA methylation signals slightly increased the prediction of rapid weight growth in addition to conventional risk factors. Among the identified signals, three CpGs partially mediated the effect of gestational age on rapid weight growth. Both CpGs (N=3) and DMRs (N=3) were associated with differential expression of transcripts (N=10 and 7, respectively), including long non-coding RNAs. An AURKC DMR was associated with childhood overweight. We observed enrichment of CpGs previously reported associated with birthweight.Our findings provide evidence of the association between cord blood DNA methylation and rapid weight growth and suggest links with prenatal exposures and association with childhood obesity providing opportunities for early prevention.© 2023. The Author(s)."
,ewas,36633903,Reduced methylation corresponds with diabetic nephropathy risk in type 1 diabetes.,J Clin Invest,"Diabetic nephropathy (DN) is a polygenic disorder with few risk variants showing robust replication in large-scale genome-wide association studies. To understand the role of DNA methylation, it is important to have the prevailing genomic view to distinguish key sequence elements that influence gene expression. This is particularly challenging for DN because genome wide methylation patterns are poorly defined. While methylation is known to alter gene expression the importance of this causal relationship is obscured by array-based technologies since coverage outside promoter regions is low. To overcome these challenges, we performed methylation sequencing using leukocytes derived from participants of the Finnish Diabetic Nephropathy (FinnDiane) type 1 diabetes (T1D) study (n=39) that was subsequently replicated in a larger validation cohort (n=296). Gene body related regions made up >60% of the methylation differences and emphasised the importance of methylation sequencing. We observe differentially methylated genes associated with DN (DDN) in three independent T1D registries originating from Denmark (n=445), Hong Kong (n=107) and Thailand (n=130). Reduced DNA methylation at CTCF and Pol2B sites were tightly connected with DN pathways that include insulin signalling, lipid metabolism and fibrosis. To define the pathophysiological significance of these population findings, methylation indices were assessed in human renal cells such as podocytes and proximal convoluted tubules. The expression of core genes was associated with reduced methylation, elevated CTCF and Pol2B binding and the activation of insulin signalling phosphoproteins in hyperglycaemic cells. These experimental observations also closely parallel methylation-mediated regulation in human macrophage and vascular endothelial cells."
,ewas,36640455,Effect of HIV infection and antiretroviral therapy initiation on genome-wide DNA methylation patterns.,EBioMedicine,"Previous epigenome-wide association studies have shown that HIV infection can disrupt the host DNA methylation landscape. However, it remains unclear how antiretroviral therapy (ART) affects the HIV-induced epigenetic modifications.184 individuals with HIV from the NEAT001/ANRS143 clinical trial (with pre-ART and post-ART samples [96 weeks of follow-up]) and 44 age-and-sex matched individuals without HIV were included. We compared genome-wide DNA methylation profiles in whole blood between groups adjusting for age, sex, batch effects, and DNA methylation-based estimates of leucocyte composition.We identified 430 differentially methylated positions (DMPs) between HIV+ pre-ART individuals and HIV-uninfected controls. In participants with HIV, ART initiation modified the DNA methylation levels at 845 CpG positions and restored 49.3% of the changes found between HIV+ pre-ART and HIV-uninfected individuals. We only found 15 DMPs when comparing DNA methylation profiles between HIV+ post-ART individuals and participants without HIV. The Gene Ontology enrichment analysis of DMPs associated with untreated HIV infection revealed an enrichment in biological processes regulating the immune system and antiviral responses. In participants with untreated HIV infection, DNA methylation levels at top HIV-related DMPs were associated with CD4/CD8 ratios and viral loads. Changes in DNA methylation levels after ART initiation were weakly correlated with changes in CD4+ cell counts and the CD4/CD8 ratio.Control of HIV viraemia after 96 weeks of ART initiation partly restores the host DNA methylation changes that occurred before antiretroviral treatment of HIV infection.NEAT-ID Foundation and Instituto de Salud Carlos III, co-funded by European Union.Copyright © 2022 Fundacion Investigacion Biomedica del Hospital La Paz. Published by Elsevier B.V. All rights reserved."
,ewas,36700736,Opioid medication use and blood DNA methylation: epigenome-wide association meta-analysis.,Epigenomics,"Aim:To identify differential methylation related to prescribed opioid use.Methods:This study examined whether blood DNA methylation, measured using Illumina arrays, differs by recent opioid medication use in four population-based cohorts. We meta-analyzed results (282 users; 10,560 nonusers) using inverse-variance weighting.Results:Differential methylation (false discovery rate <0.05) was observed at six CpGs annotated to the following genes:KIAA0226,CPLX2,TDRP,RNF38,TTC23andGPR179. Integrative epigenomic analyses linked implicated loci to regulatory elements in blood and/or brain. Additionally, 74 CpGs were differentially methylated in males or females. Methylation at significant CpGs correlated with gene expression in blood and/or brain.Conclusion:This study identified DNA methylation related to opioid medication use in general populations. The results could inform the development of blood methylation biomarkers of opioid use."
,methods,36601577,MC profiling: a novel approach to analyze DNA methylation heterogeneity in genome-wide bisulfite sequencing data.,NAR Genom Bioinform,"DNA methylation is an epigenetic mark implicated in crucial biological processes. Most of the knowledge about DNA methylation is based on bulk experiments, in which DNA methylation of genomic regions is reported as average methylation. However, average methylation does not inform on how methylated cytosines are distributed in each single DNA molecule. Here, we propose Methylation Class (MC) profiling as a genome-wide approach to the study of DNA methylation heterogeneity from bulk bisulfite sequencing experiments. The proposed approach is built on the concept of MCs, groups of DNA molecules sharing the same number of methylated cytosines. The relative abundances of MCs from sequencing reads incorporates the information on the average methylation, and directly informs on the methylation level of each molecule. By applying our approach to publicly available bisulfite-sequencing datasets, we individuated cell-to-cell differences as the prevalent contributor to methylation heterogeneity. Moreover, we individuated signatures of loci undergoing imprinting and X-inactivation, and highlighted differences between the two processes. When applying MC profiling to compare different conditions, we identified methylation changes occurring in regions with almost constant average methylation. Altogether, our results indicate that MC profiling can provide useful insights on the epigenetic status and its evolution at multiple genomic regions.© The Author(s) 2022. Published by Oxford University Press on behalf of NAR Genomics and Bioinformatics."
,methods,36609459,Who's afraid of the X? Incorporating the X and Y chromosomes into the analysis of DNA methylation array data.,Epigenetics Chromatin,"Many human disease phenotypes manifest differently by sex, making the development of methods for incorporating X and Y-chromosome data into analyses vital. Unfortunately, X and Y chromosome data are frequently excluded from large-scale analyses of the human genome and epigenome due to analytical complexity associated with sex chromosome dosage differences between XX and XY individuals, and the impact of X-chromosome inactivation (XCI) on the epigenome. As such, little attention has been given to considering the methods by which sex chromosome data may be included in analyses of DNA methylation (DNAme) array data.With Illumina Infinium HumanMethylation450 DNAme array data from 634 placental samples, we investigated the effects of probe filtering, normalization, and batch correction on DNAme data from the X and Y chromosomes. Processing steps were evaluated in both mixed-sex and sex-stratified subsets of the analysis cohort to identify whether including both sexes impacted processing results. We found that identification of probes that have a high detection p-value, or that are non-variable, should be performed in sex-stratified data subsets to avoid over- and under-estimation of the quantity of probes eligible for removal, respectively. All normalization techniques investigated returned X and Y DNAme data that were highly correlated with the raw data from the same samples. We found no difference in batch correction results after application to mixed-sex or sex-stratified cohorts. Additionally, we identify two analytical methods suitable for XY chromosome data, the choice between which should be guided by the research question of interest, and we performed a proof-of-concept analysis studying differential DNAme on the X and Y chromosome in the context of placental acute chorioamnionitis. Finally, we provide an annotation of probe types that may be desirable to filter in X and Y chromosome analyses, including probes in repetitive elements, the X-transposed region, and cancer-testis gene promoters.While there may be no single ""best"" approach for analyzing DNAme array data from the X and Y chromosome, analysts must consider key factors during processing and analysis of sex chromosome data to accommodate the underlying biology of these chromosomes, and the technical limitations of DNA methylation arrays.© 2023. The Author(s)."
,methods,36624346,SPICEMIX enables integrative single-cell spatial modeling of cell identity.,Nat Genet,"Spatial transcriptomics can reveal spatially resolved gene expression of diverse cells in complex tissues. However, the development of computational methods that can use the unique properties of spatial transcriptome data to unveil cell identities remains a challenge. Here we introduce SPICEMIX, an interpretable method based on probabilistic, latent variable modeling for joint analysis of spatial information and gene expression from spatial transcriptome data. Both simulation and real data evaluations demonstrate that SPICEMIX markedly improves on the inference of cell types and their spatial patterns compared with existing approaches. By applying to spatial transcriptome data of brain regions in human and mouse acquired by seqFISH+, STARmap and Visium, we show that SPICEMIX can enhance the inference of complex cell identities, reveal interpretable spatial metagenes and uncover differentiation trajectories. SPICEMIX is a generalizable analysis framework for spatial transcriptome data to investigate cell-type composition and spatial organization of cells in complex tissues.© 2023. The Author(s), under exclusive licence to Springer Nature America, Inc."
,methods,36711917,EpiMix: an integrative tool for epigenomic subtyping using DNA methylation.,bioRxiv,"DNA methylation (DNAme) is a major epigenetic factor influencing gene expression with alterations leading to cancer, immunological, and cardiovascular diseases. Recent technological advances enable genome-wide quantification of DNAme in large human cohorts. So far, existing methods have not been evaluated to identify differential DNAme present in large and heterogeneous patient cohorts. We developed an end-to-end analytical framework named ""EpiMix"" for population-level analysis of DNAme and gene expression. Compared to existing methods, EpiMix showed higher sensitivity in detecting abnormal DNAme that was present in only small patient subsets. We extended the model-based analyses of EpiMix to cis-regulatory elements within protein-coding genes, distal enhancers, and genes encoding microRNAs and lncRNAs. Using cell-type specific data from two separate studies, we discovered novel epigenetic mechanisms underlying childhood food allergy and survival-associated, methylation-driven non-coding RNAs in non-small cell lung cancer."
,ml,36602952,Ten quick tips for computational analysis of medical images.,PLoS Comput Biol,"Medical imaging is a great asset for modern medicine, since it allows physicians to spatially interrogate a disease site, resulting in precise intervention for diagnosis and treatment, and to observe particular aspect of patients' conditions that otherwise would not be noticeable. Computational analysis of medical images, moreover, can allow the discovery of disease patterns and correlations among cohorts of patients with the same disease, thus suggesting common causes or providing useful information for better therapies and cures. Machine learning and deep learning applied to medical images, in particular, have produced new, unprecedented results that can pave the way to advanced frontiers of medical discoveries. While computational analysis of medical images has become easier, however, the possibility to make mistakes or generate inflated or misleading results has become easier, too, hindering reproducibility and deployment. In this article, we provide ten quick tips to perform computational analysis of medical images avoiding common mistakes and pitfalls that we noticed in multiple studies in the past. We believe our ten guidelines, if taken into practice, can help the computational-medical imaging community to perform better scientific research that eventually can have a positive impact on the lives of patients worldwide.Copyright: © 2023 Chicco, Shiradkar. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
,mqtl,36631879,Systemic interindividual epigenetic variation in humans is associated with transposable elements and under strong genetic control,Genome Biol,"Background: Genetic variants can modulate phenotypic outcomes via epigenetic intermediates, for example at methylation quantitative trait loci (mQTL). We present the first large-scale assessment of mQTL at human genomic regions selected for interindividual variation in CpG methylation, which we call correlated regions of systemic interindividual variation (CoRSIVs). These can be assayed in blood DNA and do not reflect interindividual variation in cellular composition.

Results: We use target-capture bisulfite sequencing to assess DNA methylation at 4086 CoRSIVs in multiple tissues from each of 188 donors in the NIH Gene-Tissue Expression (GTEx) program. At CoRSIVs, DNA methylation in peripheral blood correlates with methylation and gene expression in internal organs. We also discover unprecedented mQTL at these regions. Genetic influences on CoRSIV methylation are extremely strong (median R2=0.76), cumulatively comprising over 70-fold more human mQTL than detected in the most powerful previous study. Moreover, mQTL beta coefficients at CoRSIVs are highly skewed (i.e., the major allele predicts higher methylation). Both surprising findings are independently validated in a cohort of 47 non-GTEx individuals. Genomic regions flanking CoRSIVs show long-range enrichments for LINE-1 and LTR transposable elements; the skewed beta coefficients may therefore reflect evolutionary selection of genetic variants that promote their methylation and silencing. Analyses of GWAS summary statistics show that mQTL polymorphisms at CoRSIVs are associated with metabolic and other classes of disease.

Conclusions: A focus on systemic interindividual epigenetic variants, clearly enhanced in mQTL content, should likewise benefit studies attempting to link human epigenetic variation to the risk of disease."
,reference,36646694,"Comparative analysis of genome-scale, base-resolution DNA methylation profiles across 580 animal species.",Nat Commun,"Methylation of cytosines is a prototypic epigenetic modification of the DNA. It has been implicated in various regulatory mechanisms across the animal kingdom and particularly in vertebrates. We mapped DNA methylation in 580 animal species (535 vertebrates, 45 invertebrates), resulting in 2443 genome-scale DNA methylation profiles of multiple organs. Bioinformatic analysis of this large dataset quantified the association of DNA methylation with the underlying genomic DNA sequence throughout vertebrate evolution. We observed a broadly conserved link with two major transitions-once in the first vertebrates and again with the emergence of reptiles. Cross-species comparisons focusing on individual organs supported a deeply conserved association of DNA methylation with tissue type, and cross-mapping analysis of DNA methylation at gene promoters revealed evolutionary changes for orthologous genes. In summary, this study establishes a large resource of vertebrate and invertebrate DNA methylomes, it showcases the power of reference-free epigenome analysis in species for which no reference genomes are available, and it contributes an epigenetic perspective to the study of vertebrate evolution.© 2023. The Author(s)."
