,Date,Category,Paper ID,Title,Journal,Summary,
No,20190916,review,31501771,The NIH Common Fund/Roadmap Epigenomics Program: Successes of a comprehensive consortium.,Sci Adv,"""Here we comment on the outcomes from this program: the scientific contributions made possible by a consortium approach and the challenges, benefits, and lessons learned from this group science effort."" ",
Yes,20190916,ewas,31501512,A methylation study of long-term depression risk.,Mol Psychiatry,"""blood DNA methylation profiles (MBD-seq) from 581 MDD patients at baseline with MDD status 6 years later""; ""A resampling approach showed a highly significant association between methylation profiles in blood at baseline and future disease status (P?=?2.0?�?10-16).""  DNA methylation risk score had AUC=0.724, better than genetic or clinical predictors.",
Yes,20190916,ewas,31497855,Placental DNA Methylation Mediates the Association of Prenatal Maternal Smoking on Birth Weight.,Am J Epidemiol,n=441 placentas; 71 CpG sites associated with prenatal smoking; 7 found to mediate effect (50-87% of 175g effect),
No,20190916,dnam score,31494793,Validated inference of smoking habits from blood with a finite DNA methylation marker set.,Eur J Epidemiol,"""Employing 14 epigenome-wide association studies for marker discovery, and using data from six population-based cohorts (N?=?3764) for model building, we identified 13 CpGs most suitable for inferring smoking versus non-smoking status from blood with a cumulative Area Under the Curve (AUC) of 0.901.""  AUC=0.7 for former, 0.78 for never, 0.8 for >10 pack-years.  Children age 6 found to be non-smokers even with prenatal smoking exposure. ",
No,20190916,mechanism,31485078,The histone mark H3K36me2 recruits DNMT3A and shapes the intergenic DNA methylation landscape.,Nature,"""NSD1-mediated H3K36me2 is required for the recruitment of DNMT3A and maintenance of DNA methylation at intergenic regions.""",
No,20190916,ewas,31477183,Peripheral blood DNA methylation differences in twin pairs discordant for Alzheimer's disease,Clin Epigenetics,23 disease discordant twin pairs; blood methylation profiles obtained from blood; 11 genomic regions with >15% methylation difference; follow-up analysis in 120 twin pairs indicates that one region selected for replication was caused by the disease state.,
No,20190916,methods,31484546,TOAST: improving reference-free cell composition estimation by cross-cell type differential analysis.,Genome Biol,Reference-free methods highly dependent on the set of CpG sites selected to estimate cell counts. Most methods essentially end up selecting the most variable sites. The authors show that by iteratively applying the reference-free method and then using the output to identify cell-type discordant CpG sites which are then fed into the next application of the reference-free method improves the final result.,
Yes,20190923,ewas,31536415,Comparison of smoking-related DNA methylation between newborns from prenatal exposure and adults from personal smoking.,Epigenomics,"""We separately meta-analyzed newborn blood DNA methylation, in relation to sustained maternal smoking during pregnancy (9 cohorts, 5648 newborns, 897 exposed) and adult blood methylation and personal smoking (16 cohorts, 15907 participants, 2433 current smokers) ... we identified numerous signatures specific to newborns along with many shared between newborns and adults. Unique smoking-associated genes in newborns were enriched in xenobiotic metabolism pathways""",
No,20190923,ewas,31536135,In utero bisphenol A exposure is linked with sex specific changes in the transcriptome and methylome of human amniocytes.,J Clin Endocrinol Metab,"19 controls, 16 exposed;  RNA-seq, RRBS for DNAm profiling, Hi-C; exposure and DNAm measured in amnyotic fluid; 36 DMRs in males, 14 in females, 101 DE genes in males, 1 in females, Hi-C identified interactions between 24 DE genes and DMRs in males and 12 DE genes and DMRs in females.",
Yes,20190923,ewas,31530476,Age-related changes in DNA methylation affect renal histology and post-transplant fibrosis.,Kidney Int,"""we profiled genome-wide changes in DNA methylation (over 800 000 CpG sites) in 95 renal biopsies obtained prior to kidney transplantation from donors aged 16 to 73 years. Donor age significantly associated with the methylation of 92 778 CpGs ... age-associated changes in DNA methylation at the time of transplantation predict future injury of transplanted kidneys""",
No,20190923,ewas,31513634,Genome-wide analysis of DNA methylation profile identifies differentially methylated loci associated with human intervertebral disc degeneration.,Genome Biol,"DNA methylation profiles of human intervertebral disc tissues, specifically nucleus pulpous (NP) tissues, with early (n=8) and advanced stages of disc degeneration (n=8). 220 DMPs enriched in cell-cell adhesion.",
No,20190923,ewas,31506096,Impact of a diet and activity health promotion intervention on regional patterns of DNA methylation.,Clin Epigenetics,"""The study compared three 12-week interventions to (1) simultaneously increase exercise and fruit/vegetable intake, while decreasing sedentary leisure screen time; (2) sequentially increase fruit/vegetable intake and decrease leisure screen time first, then increase exercise; (3) increase sleep and decrease stress (control). We collected blood samples at baseline, 3 and 9 months, and measured DNA methylation using the Illumina EPIC (850?k) BeadChip."" In 68 individuals, DNAm was not different between controls (n=12) and pooled intervention groups (simultaneous n=25; sequential n=21) but did observe 154 DMRs at 3 months and 298 at 9 months (using DMRcate). Only 1 DMR appeared at both times.",
No,20190923,methods,31501549,Simultaneous profiling of 3D genome structure and DNA methylation in single human cells.,Nat Methods,Describe 'methyl-3C' sequencing in order to generate 3D structure and DNAm simultaneously.  Use to show differences between 14 different cortical cell types.,
No,20190923,ewas,31439477,Fasting unmasks differential fat and muscle transcriptional regulation of metabolic gene sets in low versus normal birth weight men.,EBioMedicine,Gene expression and DNAm measured in subcutaneous fat and skeletal muscle men before and after 36h of fasting.  Genes in oxidative phosphorylation were lower in low birth weight men before fasting and higher after fasting.  DNAm changes were not observed (n=8 low birth weight; n=8 normal birth weight).,
No,20190923,cohort,31467051,The Uppsala-Stockholm Assisted Reproductive Techniques (UppStART) study.,BMJ Open,"In case someone is interested ART: ""The cohort includes 971 participants (n= 514 women; n= 457 men), and 129 pregnancies were achieved from the first IVF cycle included in the study."" Biological samples will be collected.",
No,20190923,gene regulation,31514731,The first enhancer in an enhancer chain safeguards subsequent enhancer-promoter contacts from a distance.,Genome Biol ,"""Using Hi-C data in multiple cell lines, we report a comprehensive map of promoters and active enhancers connected by chromatin contacts, spanning 9000 enhancer chains in 4 human cell lines associated with 2600 human genes.  We find that ... the primary, critical enhancer is distal, commonly located further away than other enhancers. This first, distal enhancer establishes contacts with multiple regulatory elements and safeguards a complex regulatory program of its target gene.""",
No,20190923,methods,31510704,Weighted elastic net for unsupervised domain adaptation with application to age prediction from DNA methylation data.,Bioinformatics,"DNAm models derived in one dataset, often fail to perform well in other datasets due to technical or even biological differences, e.g. a model of age may be applied in a new tissue or to samples from individuals from a different age range. Robustness can be improved by weighting the contribution of CpG sites to an elastic net model by how well its dependencies on other CpG sites agrees between training and testing datasets. As evidence of this, weighted elastic net generates improved models of age in cerebellum when cerebellum is not included in the training dataset.",
No,20190923,ase,31455884,Profiling allele-specific gene expression in brains from individuals with autism spectrum disorder reveals preferential minor allele usage.,Nat Neurosci ,"""When ASE is observed in ASD, the allele with lower population frequency (minor allele) is preferentially more highly expressed than the major allele, opposite to the canonical pattern. Importantly, genes showing ASE in ASD are enriched in those downregulated in ASD postmortem brains and in genes harboring de novo mutations in ASD.""",
No,20190930,ewas,31542994,Hypermethylation-associated downregulation of microRNA-4456 in hypersexual disorder with putative influence on oxytocin signalling: A DNA methylation analysis of miRNA genes.,Epigenetics,"This study implicates a potential contribution of MIR4456 in the pathophysiology of HD by putatively influencing oxytocin signalling. Genome wide EPIC methylation and expression levels of candidate miRNAs measured in 60 HD, 33 controls. Independent cohort of 107 alcohol depednent subjects. Two CpG-sites for HD - cg18222192 (MIR708) and cg01299774 (MIR4456). Cg01299774 methylation levels were inversely correlated with expression levels of MIR4456 and were also differentially methylated in alcohol dependence (p = 0.026). Gene target prediction and pathway analysis revealed that MIR4456 putatively targets genes preferentially expressed in brain and that are involved in major neuronal molecular mechanisms thought to be relevant for HD, e.g., the oxytocin signalling pathway. ",
No,20190930,ewas,31538540,Battle of epigenetic proportions: comparing Illumina's EPIC methylation microarrays and TruSeq targeted bisulfite sequencing.,Epigenetics,"Bisulphite sequencing becoming a cheaper alternative to microarrays. Conducted a comparison study - cord blood samples - four newborns in duplicates using both the Illumina HumanMethylationEPIC BeadChip and the Illumina TruSeq Methyl Capture EPIC Kit. Evaluated both platforms in regard to coverage, reproducibility, and identification of differential methylation. We conclude that with current analytic goals microarrays still outperform bisulphite sequencing for precise quantification of DNA methylation.",
No,20190930,mr,31549173,Appraising the causal relevance of DNA methylation for risk of lung cancer.,Int J Epidemiol,"DNA methylation changes in peripheral blood have recently been identified in relation to lung cancer risk. A large meta analysis and 2 sample MR finds that previous suggestions of a mediating role of methylation at sites identified in peripheral blood, such as cg05575921-AHRR, could be unfounded. However, this study does not preclude the possibility that differential DNA methylation at other sites is causally involved in lung cancer development, especially within lung tissue.",
No,20190930,ml,31521637,Artificial intelligence analysis of newborn leucocyte epigenomic markers for the prediction of autism.,Brain Res,EWAS of newborn leucocyte (blood spot) DNA in autism as defined at the time of sample collection. 14 autism cases and 10 controls. The accuracy of cytosine methylation for autism detection using six different Machine Learning/Artificial Intelligence (AI) approaches including Deep-Learning (DL) was determined. Our findings suggest significant epigenetic role in autism development and epigenetic markers appeared highly accurate for newborn prediction.,
No,20190930,review,31530287,"Air pollution-induced placental alterations: an interplay of oxidative stress, epigenetics, and the aging phenotype?",Clin Epigenetics,"To prevent lasting consequences from early-life exposures of air pollution, policy makers should get a basic understanding of biomolecular consequences and transgenerational risks.",
No,20190930,epigenetics,31533842,Identification of key DNA methylation-driven genes in prostate adenocarcinoma: an integrative analysis of TCGA methylation data.,J Transl Med,"Methylated hub genes, including MAOB and RTP4, can be regarded as novel biomarkers for accurate PCa diagnosis and treatment. Further studies are needed to draw more attention to the roles of these hub genes in the occurrence and development of PCa.",
No,20190930,ewas,31556946,Epigenome-wide association study of narcolepsy-affected lateral hypothalamic brain and overlapping DNA methylation profiles between narcolepsy and multiple sclerosis,Sleep,"Lateral hypothalamic (LH) and temporal cortex (TC) post mortem brain samples � 11 narcolepsy 15 non-narcolepsy. DMRs found located in the mylein base protein region - overlap between profiles of narcolepsy and MS, potential therapeutic targets. ?",
No,20191013,dnam age,31480455,Association of Obesity with DNA Methylation Age Acceleration in African American Mothers from the InterGEN Study.,Int J Mol Sci,n=232 saliva samples from African American women (average age 30); 1 kg/m^2 increase in BMI associated with 0.14 years increase in DNAm age acceleration,
No,20191013,methods,31484776,GeneFishing to reconstruct context specific portraits of biological processes.,PNAS,"GeneFishing uses simultation and omic data in a semisupervised approach to prioritize sets of genes.� Given a set of genes, GeneFishing identifies a more complete list of all genes with related expression patterns.� As a proof of principle, from 21 genes involved in cholesterol metabolism as bait, they identify a new gene GLO1 previously unlinked to cholesterol metabolism. However, when knocked down in a cell line, cellular cholesterol ester levels increased. ",
No,20191013,database,31501517,A compendium of promoter-centered long-range chromatin interactions in the human genome.,Nat Genet,Hi-C of 27 human cell/tissue types used to identify interactions between promoters and infer target genes of regulatory elements and regulatory function of 27K noncoding sequence variants.,
No,20191013,methods,31530853,Horizontal and vertical integrative analysis methods for mental disorders omics data.,Sci Rep,Showcase 'vertical' and 'horizontal' integretion; horizontal analysis of bipolar and schizophrenia simultaneously; vertical analysis of gene expression and copy number; sparse principal component analysis,
No,20191013,meqtl,31537805,Genome-wide identification of DNA methylation QTLs in whole blood highlights pathways for cardiovascular disease.,Nat Commun,n=4170 blood samples; identify 4.7M cis and 630K trans meQTLs targetting 120K CpG sites; replicated in 1347 individuals from two studies; MR performed using cis-meQTLs and GWAS of cardiovascular traits; 92 causal CpG sites; identify 22 trans-meQTL 'hotspots' targeting > 30 CpG sites; these hotspots act in cis on expression of nearby genes,
No,20191013,database,31551426,CommonMind Consortium provides transcriptomic and epigenomic data for Schizophrenia and Bipolar Disorder.,Sci Data,RNA-seq and SNPs (n=980); ATAC-seq (n=269); dorsolateral prefrontal cortex; schizophrenic (n=353); bipolar disorder (n=120),
No,20191013,methods,31552104,"In Epigenomic Studies, Including Cell-Type Adjustments in Regression Models Can Introduce Multicollinearity, Resulting in Apparent Reversal of Direction of Association.",Front Genet,n=812 at age 17 (Western Australian Pregnancy Cohort Study); EWAS of BMI adjusted for age and sex; cell counts estimated using the Houseman algorithm; associations in the CDKN2A promoter reversed direction when adjusted for cell counts; reason: correlation high between cell counts and promoter methylation,
Yes,20191013,ewas,31552803,Smoking and blood DNA methylation: an epigenome-wide association study and assessment of reversibility.,Epigenetics,"n=5044; Melbourne Collaborative Cohort Study; smoking; n=1032 have blood collected 11 years later; 4496 sites associated with ever smoking; 1326 of these new; 2.75 half-life for the smoking score (i.e. in 2.75 years, half of the smoking effect has disappeared); 368 CpG sites change upon smoking cessation ",
No,20191013,epigenetics,31554518,Divergent neuronal DNA methylation patterns across human cortical development reveal critical periods and a unique role of CpH methylation.,Genome Biol,Characterise neocortical DNAm across the first 20 years; most dramatic changes in the first 5 years; neighboring CpG and CpH levels are correlated; CpG and CpH levels define 6 developmental trajectories; identify gene expression effects linked only to CpH and not CpG levels.,
No,20191013,dnam age,31554804,Ageing affects DNA methylation drift and transcriptional cell-to-cell variability in mouse muscle stem cells.,Nat Commun,"Use single-cell transcriptomes and methylomes in mouse muscle stem cells. Find evidence that 'epigenetic drift ... in promoters is associated with the degradation of coherent transcriptional networks during stem cell aging"".",
No,20191013,ewas,31566019,Epigenome- and Transcriptome-wide Changes in Muscle Stem Cells from Low Birth Weight Men.,Endocr Res,"muscle progenitor cells from 23 LBW and 15 NBW controls; 56 CpG sites differentially methylated; 14 genes differentially expressed; follow-up experimental work determined that ""Silencing of FYN and HDAC7 was
associated with impaired myotube formation, which for HDAC7 reduced muscle glucose uptake.""",
No,20191013,genetics,31575865,Genome-wide association study reveals dynamic role of genetic variation in infant and early childhood growth.,Nat Commun,"GWAS of BMI at 12 points from 0-8 (9286 children) in MOBA; transient effects in the leptin receptor -- no effect at birth, increasing to peak at 6-12 months, little effect after age 5; transient effects in the leptin gene peaking at 1.5 years; replicated in 5235 children",
No,20191013,database,31584095,EWAS Data Hub: a resource of DNA methylation array data and metadata.,Nucleic Acids Res,"75,344 publicly available DNA methylation profiles; normalized to remove batch effects; 81 tissues/cell types; https://bigd.big.ac.cn/ewas/datahub",
No,20191013,ewas,31587037,5-Hydroxymethylcytosine in cord blood and associations of DNA methylation with sex in newborns.,Mutagenesis,5mC and 5hmC measured in cord blood; n=41 (CHAMACOS); low levels of 5hmC; concordance 0.25 between 5mC and 5hmC+5mC; 5hmC at 21 CpG sites associated with sex; ,
No,20191013,dnam score,31591380,"Epigenetic signatures of smoking associate with cognitive function, brain structure, and mental and physical health outcomes in the Lothian Birth Cohort 1936.",Transl Psychiatry,"n=895 age 70 years (LBC1936); blood DNAm; 230-CpG site smoking score associated with smoking, pack years, cognitive function, structural brain integrity, physical health and psychosocial health. Score associations with cognitive function, dietary patterns, stroke, mortality, MRI volumetric measures were stronger than self-report.",
No,20191013,meqtl,31591588,Genome-wide germline correlates of the epigenetic landscape of prostate cancer.,Nat Med,"With 241 discovery and 348 validation patients with germline WGS and prostate tumor methylation, identified and validated 1178 loci with altered DNA methylation in tumor but not nonmalignant tissue.  Provide evidence that these tumor meQTLs influence chromatin structure and RNA and protein abundance.  ",
Yes,20191013,ewas,31594917,Integrated genome-wide methylation and expression analyses reveal functional predictors of response to antidepressants.,Transl Psychiatry,n=211 MDD and n=112 controls age 18-60; 8-week escitalopram (SRI anti-depressant); n=82 responders and n=95 non-responders among MDD; 303 CpG sites differentially methylated; 2009 differentially expressed genes; 3 promoter CpG sites associated with gene expression; one site  replicated externally in n=71 responders and n=76 non-responders; AUC = 0.59 for this site to differentiate between responders and non-responders; healthy controls were compared to MDD to ensure that methylation responder differences weren't due to MDD status.,
Yes,20191013,ewas,31596135,Genome-wide DNA methylation changes in placenta tissues associated with small for gestational age newborns; cohort study in the Chinese population.,Epigenomics,n=1292; placenta; 39 small for gestational age; 2012 CpG sites associated with SG; 5 CpG sites associated with folic acid supplementation (FAM198A),
Yes,20191013,ewas,31600381,"Reproduction, DNA methylation and biological age.",Hum Reprod,"n=2356 women age 35-74 (Sister Study); whole blood; Hannum, Horvath and Phenoage epigenetic clocks; weak associations between parity and epigenetic age acceleration; further weakened by adjustment for BMI; weak associations with abnormal glucose tolerance; parity associated with 17 CpG sites",
Yes,20191021,ewas,31601636,Maternal Gestational Diabetes Mellitus and Newborn DNA Methylation: Findings From the Pregnancy and Childhood Epigenetics Consortium.,Diabetes care,"7 pregnancy cohorts (3,677 mother-newborn pairs (317 with GDM)) . Two DMRs hypomethylated in newborns exposed to GDM ",
No,20191021,ewas,31594949,International meta-analysis of PTSD genome-wide association studies identifies sex- and ancestry-specific genetic risk loci. ,Nat Comms,"Multi-ethnic cohort including - 30,000 PTSD cases / 170,000 controls 
Three genome-wide significant loci are identified, 2 in European and 1 in African-ancestry analyses. 
Parkinson's disease gene involved in dopamine regulation, PARK2, is associated with PTSD. 
",
Yes,20191021,ewas,31582393,DNA methylation identifies genetically and prognostically distinct subtypes of myelodysplastic syndromes,Blood Adv,"141 patients with MDS � bone marrow samples
NMF was performed on the 3% most variably methylated CpG tiles (n = 7,382) 
��we demonstrate that using novel computational methods to agnostically classify primary MDS patients by their DNAm patterns can identify subtypes of MDS characterized by distinct patterns of genetic lesions, regulatory region methylation, and prognostic risk. Our results highlight the importance of DNAm in MDS disease biology as a convergent oncogenic phenotype and support future studies investigating DNAm profiles as clinically relevant biomarkers.�
",
No,20191021,mechanism,31582723,Genetic risk for Alzheimer's dementia predicts motor deficits through multi-omic systems in older adults,Transl Psychiatry,"Integrative analysis to untangle the molecular paths from genetic risk to motor impairment [n=1,885] 
�To identify specific molecular features that potentially medicate the genetic risk into motor dysfunction, we examined brain multi-omics, including transcriptome, DNA methylation, histone acetylation (H3K9AC), and targeted proteomics, as well as diverse neuropathologies.�
AD-PRS compared to several motor phenotypes 
Genetic risk for Alzheimer�s dementia influenced motor functions in older adults, suggesting that cognitive and motor impairment share, at least in part, an underlying genetic architecture. 
",
No,20191021,dnam age,31611402,The PedBE clock accurately estimates DNA methylation age in pediatric buccal cells,Proc Natl Acad Sci U S A,"1,721 genome-wide epithelial buccal cell DNAm profiles - 0 � 20 years 
Elastic net penalized regression was used to select 94 CpG sites
�DNAm at these 94 CpG sites was highly predictive of age in the test cohort�the Pediatric-Buccal-Epigenetic clock was characterized in additional cohorts, showcasing the accuracy in longitudinal data, the performance in nonbuccal tissues and adult age ranges, and the association with obstetric outcomes.�

",
No,20191021,dnam score,31609642,A Four Marker Digital PCR Toolkit for Detecting Heavy Alcohol Consumption and the Effectiveness of Its Treatment,J Insur Med,"143 participants with current HAC and 200 abstinent controls. We show that a set of 4 digital PCR assays that have a AUC 0.96 for detecting those with HAC. �After a mean of 21 days of inpatient enforced abstinence, methylation status at one of these markers, cg04987734, began to revert to baseline values.� ",
No,20191021,ewas,31645664,Successful treatment of post-traumatic stress disorder reverses DNA methylation marks,Mol Psychiatry,"Investigated longitudinal changes of blood-based genome-wide DNA methylation levels in relation to trauma-focused psychotherapy for ?

PTSD in soldiers in remission (N?=?21)?

non-remitted PTSD patients (N?=?23)?

trauma-exposed military controls (N?=?23)?

Independent prospective cohort, we then examined whether these DMRs were also relevant for the development of deployment-related PTSD (N?=?85).?

Successful treatment of PTSD was accompanied by significant changes in DNA methylation at 12 differentially methylated regions (DMRs) in the genes: APOB, MUC4, EDN2, ZFP57, GPX6, CFAP45, AFF3, TP73, UBCLP1, RPL13P, and two intergenic regions ?

Of the 12 DMRs related to PTSD symptom reduction, consistent prospective evidence was found for ZFP57 methylation changes related to changing PTSD symptoms ?

�Increasing ZFP57 methylation related to PTSD symptom reduction was present over and above the relation with symptoms, suggesting that psychological treatments exert biological effects independent of symptom reduction. Together, these data provide longitudinal evidence that ZFP57 methylation is involved in both the development and successful treatment of deployment-related PTSD.�?",
No,20191021,dnam score,31646666,A seven?DNA methylation signature as a novel prognostic biomarker in breast cancer ,J Cell Biochem,"The DNA methylation data of BC was downloaded from:?

The Cancer Genome Atlas ?

Gene Expression Omnibus?

Functional ANnoTation of The Mammalian Genome?

The RNA?Seq data and clinical information of patients were downloaded from TCGA (~1300 samples) ?

7 DMSs were identified - their expression levels were negatively correlated with the DNA methylation level and not affected by age, subtypes, or tumour stages.?

�We proposed that these seven differentially DNA methylation sites can be used as a novel prognostic biomarker for BC - AUC?=?0.74�?",
Yes,20191021,ewas,31642367,Epigenome?Wide Association Study for All?Cause Mortality in a Cardiovascular Cohort Identifies Differential Methylation in Castor Zinc Finger 1 (CASZ123),J Am Heart Assoc,"EWAS for all?cause mortality with whole?transcriptome data in a cardiovascular cohort ?

Cases - participants with mortality ?7 days post-catheterization / controls - alive with ?2 years of follow?up. ?

In the discovery set (450k, 55 cases, 49 controls), 25,629 (6.5%) probes were differently methylated (P<0.05). In the validation set (EPIC, 108 cases, 108 controls), 3 probes were differentially methylated?

6 novel differentially methylated CpG loci were found to be associated with all?cause mortality ?

Differential methylation in CASZ1 may serve as a genomic regulatory element associated with increased risk of death in cardiovascular patients.?

�Our findings are unique when compared with 2 previous EWAS of all?cause mortality�?",
No,20191021,dnam score,31640781,Random forest-based modelling to detect biomarkers for prostate cancer progression,Clin Epigenetics,"The clinical course of prostate cancer (PCa) is highly variable, demanding an individualized approach to therapy. Overtreatment of indolent PCa cases, which likely do not progress to aggressive stages, may be associated with severe side effects and considerable costs. These could be avoided by utilizing robust prognostic markers to guide treatment decisions.?
?
Random forest-based classification model to predict aggressive behaviour of prostate cancer. ?
DNA methylation changes between PCa cases with good or poor prognosis (discovery cohort with n?=?70) - randomly split into a training (80%) and a test set (20%) - AUC 95%. ?
?
Using the ICGC cohort of early- and late-onset prostate cancer (n?=?222) and the TCGA PRAD cohort (n?=?477) for external validation, AUCs for sensitivity analyses were 77.1% and 68.7%, respectively. ?",
No,20191021,dnam score,31618096,AHRR Methylation is a Significant Predictor of Mortality Risk in Framingham Heart Study.,J Insur Med,"We analysed the relationship of methylation at cg05575921 and cg04987734 (quantitative marker of heavy alcohol consumption (HAC)) to mortality ?

n = 2,278  average age ~66 years?

�we found that the inclusion of both cg05575921 and cg04987734 methylation to a base model consisting of age and sex only, or to a model containing 11 commonly used mortality risk factors, improved risk prediction�prediction accuracy for the base model plus methylation data was increased compared to the base model plus known predictors of mortality (CHD, COPD, or stroke).� ?

Cg05575921, and to a smaller extent cg04987734, are strong predictors of mortality risk in older Americans?",
No,20191104,ewas,31667917,Epigenetics Predicts Serum 25-hydroxyvitamin D<sub>3</sub> Response to Vitamin D<sub>3</sub> Supplementation in African Americans.,Mol Nutr Food Res,"16-week trial?

N=64 African Americans?

Vitamin D3 supplement of 0, 600, 2000 or 4000 IU/day?

Responder = serum 25(OH)D concentration at or above expected levels given supplementation?

1 CpG site different between responders and non-responders?

cg07873128 [OSBPL5] ?

OSBPL5 regulates cholesterol balance and calcium homeostasis",
Yes,20191104,ewas,31652233,Physical Activity and Genome-wide DNA Methylation: The REGICOR Study.,Med Sci Sports Exerc,"N=619 from REGICOR?

N=1735?

N=190?

Physical activity by questionnaire: light, moderate, vigorous, moderate vigorous, total?

Two 'non-linear' associations with moderate vigorous:?

cg24155427 (p-value=1.19E-10) linked to smoking, lupus, aging?

cg09565397 (p-value=1.59E-10) linked to BMI",
No,20191104,ewas,31651337,Whole-genome bisulfite sequencing in systemic sclerosis provides novel targets to understand disease pathogenesis.,BMC Med Genomics,"Systemic sclerosis is 'a rare autoimmune connective tissue disease'?

N=9 patients vs N=9 controls?

CD4+ T lymphocytes?

3 million CpG sites measured at high coverage by whole-genome bisulfite sequencing ?

599 DMRs?

Linked to genes involved in Wnt/beta-catenin signaling pathway, skin lesion formation and progression, and angiogenesis",
No,20191104,ewas,31640099,"Genome-Wide Methylation of Mild Cognitive Impairment in Mexican Americans Highlights Genes Involved in Synaptic Transport, Alzheimer's Disease-Precursor Phenotypes, and Metabolic Morbidities.",J Alzheimers Dis,"Mild cognitive impairment a common precursor of Alzheimer�s disease?

N=45 mild cognitive impaired vs N=45 controls?

10 CpG sites differentially methylated in blood?

""gene ontology and pathway analyses point to neuronal cell death, metabolic dysfunction, and inflammatory processes""",
No,20191104,ewas,31639064,Detecting multiple differentially methylated CpG sites and regions related to dimensional psychopathology in youths.,Clin Epigenetics,"Longitudinal EWAS that 'subtracts' age effects?

N=24 youths with increase dimensional psychopathology over 3 years?

Blood collected at both assessments?

663 differentially methylated CpG sites?

15 linked to differentially expressed genes?

""We implemented a methodological framework to reduce the effect of chronological age on DNA methylation using an independent population of 140 youths and the effect of puberty using data from the literature""",
No,20191104,dnam age,31636290,"DNA methylation-based biological age, genome-wide average DNA methylation, and conventional breast cancer risk factors.",Sci Rep,"Surprise! Associations with genome-wide average methylation?

N=479 from the Australian Mammographic Density Twins and Sisters?

N=3354 from the Melbourne Collaborative Cohort Study?

3 clocks (Hannum, Horvath and PhenoAge)?

Genome-wide average methylation?

18 breast cancer cancer risk factors?

DNAm age associated with BMI, smoking (!), alcohol, age at menarche?

Average DNAm associated with smoking, parity, age at first birth",
No,20191104,ewas,31628932,Artificial Intelligence and the detection of pediatric concussion using epigenomic analysis.,Brain Res,"How much do we believe this??

N=17 concussion cases vs 18 controls?

Blood?

449 differentially methylated CpG sites (FDR < 0.05)?

4 CpG sites with AUC > 0.9?

Enriched pathways: ""impaired brain function, cognition, memory, neurotransmission, intellectual disability and behavioral change and associated disorders""?

Prediction?

Train on 80% (n=28), test on 20% (n=7)?

Lasso identified 3 site model with AUC=0.98.?

Deep learning performed similarly.",
No,20191104,dnam age,31640709,Intrinsic and extrinsic epigenetic age acceleration are associated with hypertensive target organ damage in older African Americans.,BMC Med Genomics,"Investigates DNAm age acceleration relationship with cardiovascular mortality?

N=1390 African Americans from GENOA study?

Blood collected at baseline (1996-2000)?

Organ damage assessed in follow-up (2000-2004)?

IEAA (Horvath intrinsic) associated with 4 markers of damage?

EEAA (Horvath extrinsic) with 1 marker of damage",
No,20191104,methods,31601707,Genetic regulatory variation in populations informs transcriptome analysis in rare disease.,Science,,
No,20191104,methods,31651351,IMAGE: high-powered detection of genetic effects on DNA methylation using integrated methylation QTL mapping and allele-specific analysis.,Genome Biol,"mQTL analysis in sequenced DNAm profiles is a bit different?

Method for mQTL analysis for whole-genome bisulfite sequenced DNAm profiles?

e.g. accounts for 'count nature' of sequencing data?

e.g. analyses allele-specific methylation patterns in heterozygous individuals",
No,20191111,circulating,31695765,Genome-wide discovery and validation of diagnostic DNA methylation-based biomarkers for hepatocellular cancer detection in circulating cell free DNA.,Theranostics,"Blood biomarker for identifying HCC in individuals with liver cirrhosis.
�As liver cirrhosis is the principal risk state for HCC development, markers to detect early HCC within this patient population are urgently needed.�
N=22 per group, Illumina 450k for circulating cell free DNA (cfDNA)
AUC > 0.95 in validation (N=15 per group) and publicly available liver tissue data
Liver tissue predictors did not work well in cfDNA

",
Yes,20191111,ewas,31691802,Methylation changes in the peripheral blood of filipinos with type 2 diabetes suggest spurious transcription initiation at TXNIP.,Hum Mol Genet,"Functional investigation of loss of TXNIP methylation in T2D
N=218 controls and N=147 cases
177 differentially methylated CpG sites
3 sites near TXNIP replicate previous study
�The TXNIP downmethylation coincided with increased transcription at the 3�-UTR, H3K36me3 histone markings, and Sp1 binding, suggesting spurious transcription initiation at the TXNIP 3�-UTR as a functional consequence of T2D methylation changes�
",
No,20191111,dnam score,31675985,Analysis of the clinical significance of DNA methylation in gastric cancer based on a genome-wide high-resolution array.,Clin Epigenetics,"3-CpG site predictor of GC recurrence and survival in blood and tissue
Patients had received surgery for GC
EWAS of tumor and adjacent normal in N=16
Top 3 associations evaluated with respect to metastases, GC stage, survival rate
N=141 tumor and adjacent normal
N=106 plasma
Associations observed but �
",
No,20191111,initiative,30053424,The Psychiatric Cell Map Initiative: A Convergent Systems Biological Approach to Illuminating Key Molecular Pathways in Neuropsychiatric Disorders.,Cell,"Huge effort to understand neuropsychiatric disorders using �systems biology�
",
No,20191111,initiative,31681422,Identification of Biomarkers in Neuropsychiatric Disorders Based on Systems Biology and Epigenetics.,Front Genet,"A systems biology biomarker is a subnetwork of features rather than a single or simply a collection of features.  Predicts that they will perform better.
",
