present,ec,type,pmid,title,source,abstract
,No,methods,36282535,A gene regulatory network approach harmonizes genetic and epigenetic signals and reveals repurposable drug candidates for multiple sclerosis.,Hum Mol Genet,"Multiple sclerosis (MS) is a complex dysimmune disorder of the central nervous system. Genome-wide association studies (GWAS) have identified 233 genetic variations associated with MS at the genome-wide significant level. Epigenetic studies have pinpointed differentially methylated CpG sites in MS patients. However, the interplay between genetic risk factors and epigenetic regulation remains elusive. Here, we employed a network model to integrate GWAS summary statistics of 14 802 MS cases and 26 703 controls with DNA methylation profiles from 140 MS cases and 139 controls and the human interactome. We identified differentially methylated genes by aggregating additive effects of differentially methylated CpG sites within promoter regions. We reconstructed a gene regulatory network (GRN) using literature-curated transcription factor knowledge. Colocalization of the MS GWAS and methylation quantitative trait loci (mQTL) was performed to assess the GRN. The resultant MS-associated GRN highlighted several single nucleotide polymorphisms (SNPs) with GWAS-mQTL colocalization: rs6032663, rs6065926, and rs2024568 of CD40 locus, rs9913597 of STAT3 locus, and rs887864 and rs741175 of CIITA locus. Moreover, synergistic mQTL and eQTL signals were identified in CD40, suggesting gene expression alteration was likely induced by epigenetic changes. Web-based Cell-type Specific Enrichment Analysis of Genes (WebCSEA) indicated that the GRN was enriched in T follicular helper cells (p-value = 0.0016). Drug target enrichment analysis of annotations from the Therapeutic Target Database (TTD) revealed the GRN was also enriched with drug target genes (p-value = 3.89 × 10-4), revealing repurposable candidates for MS treatment. These candidates included vorinostat (HDAC1 inhibitor) and sivelestat (ELANE inhibitor), which warrant further investigation.© The Author(s) 2022. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com."
x,No,methods,36280888,Significant variation in the performance of DNA methylation predictors across data preprocessing and normalization strategies.,Genome Biol,"DNA methylation (DNAm)-based predictors hold great promise to serve as clinical tools for health interventions and disease management. While these algorithms often have high prediction accuracy, the consistency of their performance remains to be determined. We therefore conduct a systematic evaluation across 101 different DNAm data preprocessing and normalization strategies and assess how each analytical strategy affects the consistency of 41 DNAm-based predictors.Our analyses are conducted in a large EPIC DNAm array dataset from the Jackson Heart Study (N = 2053) that included 146 pairs of technical replicate samples. By estimating the average absolute agreement between replicate pairs, we show that 32 out of 41 predictors (78%) demonstrate excellent consistency when appropriate data processing and normalization steps are implemented. Across all pairs of predictors, we find a moderate correlation in performance across analytical strategies (mean rho = 0.40, SD = 0.27), highlighting significant heterogeneity in performance across algorithms. Successful or unsuccessful removal of technical variation furthermore significantly impacts downstream phenotypic association analysis, such as all-cause mortality risk associations.We show that DNAm-based algorithms are sensitive to technical variation. The right choice of data processing strategy is important to achieve reproducible estimates and improve prediction accuracy in downstream phenotypic association analyses. For each of the 41 DNAm predictors, we report its degree of consistency and provide the best performing analytical strategy as a guideline for the research community. As DNAm-based predictors become more and more widely used, our work helps improve their performance and standardize their implementation.© 2022. The Author(s)."
,No,methods,36277076,A computational solution for bolstering reliability of epigenetic clocks: Implications for clinical trials and longitudinal tracking.,Nat Aging,"Epigenetic clocks are widely used aging biomarkers calculated from DNA methylation data, but this data can be surprisingly unreliable. Here we show technical noise produces deviations up to 9 years between replicates for six prominent epigenetic clocks, limiting their utility. We present a computational solution to bolster reliability, calculating principal components from CpG-level data as input for biological age prediction. Our retrained principal-component versions of six clocks show agreement between most replicates within 1.5 years, improved detection of clock associations and intervention effects, and reliable longitudinal trajectoriesin vivoandin vitro. This method entails only one additional step compared to traditional clocks, requires no replicates or prior knowledge of CpG reliabilities for training, and can be applied to any existing or future epigenetic biomarker. The high reliability of principal component-based clocks is critical for applications to personalized medicine, longitudinal tracking,in vitrostudies, and clinical trials of aging interventions."
,No,methods,36319638,Unsupervised learning of aging principles from longitudinal data.,Nat Commun,"Age is the leading risk factor for prevalent diseases and death. However, the relation between age-related physiological changes and lifespan is poorly understood. We combined analytical and machine learning tools to describe the aging process in large sets of longitudinal measurements. Assuming that aging results from a dynamic instability of the organism state, we designed a deep artificial neural network, including auto-encoder and auto-regression (AR) components. The AR model tied the dynamics of physiological state with the stochastic evolution of a single variable, the ""dynamic frailty indicator"" (dFI). In a subset of blood tests from the Mouse Phenome Database, dFI increased exponentially and predicted the remaining lifespan. The observation of the limiting dFI was consistent with the late-life mortality deceleration. dFI changed along with hallmarks of aging, including frailty index, molecular markers of inflammation, senescent cell accumulation, and responded to life-shortening (high-fat diet) and life-extending (rapamycin) treatments.© 2022. The Author(s)."
x,No,ml,36335101,Learning the histone codes with large genomic windows and three-dimensional chromatin interactions using transformer.,Nat Commun,"The quantitative characterization of the transcriptional control by histone modifications has been challenged by many computational studies, but most of them only focus on narrow and linear genomic regions around promoters, leaving a room for improvement. We present Chromoformer, a transformer-based, three-dimensional chromatin conformation-aware deep learning architecture that achieves the state-of-the-art performance in the quantitative deciphering of the histone codes in gene regulation. The core essence of Chromoformer architecture lies in the three variants of attention operation, each specialized to model individual hierarchy of transcriptional regulation involving from core promoters to distal elements in contact with promoters through three-dimensional chromatin interactions. In-depth interpretation of Chromoformer reveals that it adaptively utilizes the long-range dependencies between histone modifications associated with transcription initiation and elongation. We also show that the quantitative kinetics of transcription factories and Polycomb group bodies can be captured by Chromoformer. Together, our study highlights the great advantage of attention-based deep modeling of complex interactions in epigenomes.© 2022. The Author(s)."
,No,prediction,36329159,"Precision gynecologic oncology: circulating cell free DNA epigenomic analysis, artificial intelligence and the accurate detection of ovarian cancer.",Sci Rep,"Ovarian cancer (OC) is the most lethal gynecologic cancer due primarily to its asymptomatic nature and late stage at diagnosis. The development of non-invasive markers is an urgent priority. We report the accurate detection of epithelial OC using Artificial Intelligence (AI) and genome-wide epigenetic analysis of circulating cell free tumor DNA (cfTDNA). In a prospective study, we performed genome-wide DNA methylation profiling of cytosine (CpG) markers. Both conventional logistic regression and six AI platforms were used for OC detection. Further, we performed Gene Set Enrichment Analysis (GSEA) analysis to elucidate the molecular pathogenesis of OC. A total of 179,238 CpGs were significantly differentially methylated (FDR p-value < 0.05) genome-wide in OC. High OC diagnostic accuracies were achieved. Conventional logistic regression achieved an area under the ROC curve (AUC) [95% CI] 0.99 [± 0.1] with 95% sensitivity and 100% specificity. Multiple AI platforms each achieved high diagnostic accuracies (AUC = 0.99-1.00). For example, for Deep Learning (DL)/AI AUC = 1.00, sensitivity = 100% and 88% specificity. In terms of OC pathogenesis: GSEA analysis identified 'Adipogenesis' and 'retinoblastoma gene in cancer' as the top perturbed molecular pathway in OC. This finding of epigenomic dysregulation of molecular pathways that have been previously linked to cancer adds biological plausibility to our results.© 2022. The Author(s)."
x,No,prediction,36305646,DNA methylation biomarkers for noninvasive detection of triple-negative breast cancer using liquid biopsy.,Int J Cancer,"Noninvasive detection of aberrant DNA methylation could provide invaluable biomarkers for earlier detection of triple-negative breast cancer (TNBC) which could help clinicians with easier and more efficient treatment options. We evaluated genome-wide DNA methylation data derived from TNBC and normal breast tissues, peripheral blood of TNBC cases and controls and reference samples of sorted blood and mammary cells. Differentially methylated regions (DMRs) between TNBC and normal breast tissues were stringently selected, verified and externally validated. A machine-learning algorithm was applied to select the top DMRs, which then were evaluated on plasma-derived circulating cell-free DNA (cfDNA) samples of TNBC patients and healthy controls. We identified 23 DMRs accounting for the methylation profile of blood cells and reference mammary cells and then selected six top DMRs for cfDNA analysis. We quantified un-/methylated copies of these DMRs by droplet digital PCR analysis in a plasma test set from TNBC patients and healthy controls and confirmed our findings obtained on tissues. Differential cfDNA methylation was confirmed in an independent validation set of plasma samples. A methylation score combining signatures of the top three DMRs overlapping with the SPAG6, LINC10606 and TBCD/ZNF750 genes had the best capability to discriminate TNBC patients from controls (AUC = 0.78 in the test set and AUC = 0.74 in validation set). Our findings demonstrate the usefulness of cfDNA-based methylation signatures as noninvasive liquid biopsy markers for the diagnosis of TNBC.© 2022 The Authors. International Journal of Cancer published by John Wiley & Sons Ltd on behalf of UICC."
x,No,prediction,36274755,Hierarchical Ridge Regression for Incorporating Prior Information in Genomic Studies.,J Data Sci,"There is a great deal of prior knowledge about gene function and regulation in the form of annotations or prior results that, if directly integrated into individual prognostic or diagnostic studies, could improve predictive performance. For example, in a study to develop a predictive model for cancer survival based on gene expression, effect sizes from previous studies or the grouping of genes based on pathways constitute such prior knowledge. However, this external information is typically only used post-analysis to aid in the interpretation of any findings. We propose a new hierarchical two-level ridge regression model that can integrate external information in the form of ""meta features"" to predict an outcome. We show that the model can be fit efficiently using cyclic coordinate descent by recasting the problem as a single-level regression model. In a simulation-based evaluation we show that the proposed method outperforms standard ridge regression and competing methods that integrate prior information, in terms of prediction performance when the meta features are informative on the mean of the features, and that there is no loss in performance when the meta features are uninformative. We demonstrate our approach with applications to the prediction of chronological age based on methylation features and breast cancer mortality based on gene expression features."
,No,prediction,36261477,A machine learning approach utilizing DNA methylation as an accurate classifier of COVID-19 disease severity.,Sci Rep,"Since the onset of the COVID-19 pandemic, increasing cases with variable outcomes continue globally because of variants and despite vaccines and therapies. There is a need to identify at-risk individuals early that would benefit from timely medical interventions. DNA methylation provides an opportunity to identify an epigenetic signature of individuals at increased risk. We utilized machine learning to identify DNA methylation signatures of COVID-19 disease from data available through NCBI Gene Expression Omnibus. A training cohort of 460 individuals (164 COVID-19-infected and 296 non-infected) and an external validation dataset of 128 individuals (102 COVID-19-infected and 26 non-COVID-associated pneumonia) were reanalyzed. Data was processed using ChAMP and beta values were logit transformed. The JADBio AutoML platform was leveraged to identify a methylation signature associated with severe COVID-19 disease. We identified a random forest classification model from 4 unique methylation sites with the power to discern individuals with severe COVID-19 disease. The average area under the curve of receiver operator characteristic (AUC-ROC) of the model was 0.933 and the average area under the precision-recall curve (AUC-PRC) was 0.965. When applied to our external validation, this model produced an AUC-ROC of 0.898 and an AUC-PRC of 0.864. These results further our understanding of the utility of DNA methylation in COVID-19 disease pathology and serve as a platform to inform future COVID-19 related studies.© 2022. The Author(s)."
,No,prediction,36309516,The cell-free DNA methylome captures distinctions between localized and metastatic prostate tumors.,Nat Commun,"Metastatic prostate cancer remains a major clinical challenge and metastatic lesions are highly heterogeneous and difficult to biopsy. Liquid biopsy provides opportunities to gain insights into the underlying biology. Here, using the highly sensitive enrichment-based sequencing technology, we provide analysis of 60 and 175 plasma DNA methylomes from patients with localized and metastatic prostate cancer, respectively. We show that the cell-free DNA methylome can capture variations beyond the tumor. A global hypermethylation in metastatic samples is observed, coupled with hypomethylation in the pericentromeric regions. Hypermethylation at the promoter of a glucocorticoid receptor gene NR3C1 is associated with a decreased immune signature. The cell-free DNA methylome is reflective of clinical outcomes and can distinguish different disease types with 0.989 prediction accuracy. Finally, we show the ability of predicting copy number alterations from the data, providing opportunities for joint genetic and epigenetic analysis on limited biological samples.© 2022. The Author(s)."
,No,prediction,36281400,5-Hydroxymethylcytosines in circulating cell-free DNA reveal a diagnostic biomarker for glioma.,Heliyon,"Gliomas typically have unfavorable prognosis, due to late detection and interventions. However, effective biomarkers for early glioma diagnosis based on 5-hydroxymethylcytosines (5 hm C) in circulating cell-free DNA (cfDNA) are not currently available. 5 hm C profiles in GSE132118 set were subjected for establishment of diagnostic model using the LASSO (least absolute shrinkage and selection operator) algorithm. The 5 hm C-based models demonstrated great potency in differentiating healthy subjects from gliomas, with area under the curves (AUCs) > 0.91 in the training and validation sets. Moreover, the indicator performed well in combination with clinicopathological characteristics to differentiate glioblastomas (GBMs) from lower grade glioma (LGGs). Enrichment analysis on 5 hm C profiles displayed great correlation with glioma pathophysiology. The 5 hm C-derived biomarker might act as an effective and non-invasive measure in glioma screening.© 2022 The Authors."
,No,pwas,36253349,Systematic Mendelian randomization using the human plasma proteome to discover potential therapeutic targets for stroke.,Nat Commun,"Stroke is the second leading cause of death with substantial unmet therapeutic needs. To identify potential stroke therapeutic targets, we estimate the causal effects of 308 plasma proteins on stroke outcomes in a two-sample Mendelian randomization framework and assess mediation effects by stroke risk factors. We find associations between genetically predicted plasma levels of six proteins and stroke (P ≤ 1.62 × 10-4). The genetic associations with stroke colocalize (Posterior Probability >0.7) with the genetic associations of four proteins (TFPI, TMPRSS5, CD6, CD40). Mendelian randomization supports atrial fibrillation, body mass index, smoking, blood pressure, white matter hyperintensities and type 2 diabetes as stroke risk factors (P ≤ 0.0071). Body mass index, white matter hyperintensity and atrial fibrillation appear to mediate the TFPI, IL6RA, TMPRSS5 associations with stroke. Furthermore, thirty-six proteins are associated with one or more of these risk factors using Mendelian randomization. Our results highlight causal pathways and potential therapeutic targets for stroke.© 2022. The Author(s)."
,No,pwas,36273219,Plasma proteome profiling identifies changes associated to AD but not to FTD.,Acta Neuropathol Commun,"Frontotemporal dementia (FTD) is caused by frontotemporal lobar degeneration (FTLD), characterized mainly by inclusions of Tau (FTLD-Tau) or TAR DNA binding43 (FTLD-TDP) proteins. Plasma biomarkers are strongly needed for specific diagnosis and potential treatment monitoring of FTD. We aimed to identify specific FTD plasma biomarker profiles discriminating FTD from AD and controls, and between FTD pathological subtypes. In addition, we compared plasma results with results in post-mortem frontal cortex of FTD cases to understand the underlying process.Plasma proteins (n = 1303) from pathologically and/or genetically confirmed FTD patients (n = 56; FTLD-Tau n = 16; age = 58.2 ± 6.2; 44% female, FTLD-TDP n = 40; age = 59.8 ± 7.9; 45% female), AD patients (n = 57; age = 65.5 ± 8.0; 39% female), and non-demented controls (n = 148; 61.3 ± 7.9; 41% female) were measured using an aptamer-based proteomic technology (SomaScan). In addition, exploratory analysis in post-mortem frontal brain cortex of FTD (n = 10; FTLD-Tau n = 5; age = 56.2 ± 6.9, 60% female, and FTLD-TDP n = 5; age = 64.0 ± 7.7, 60% female) and non-demented controls (n = 4; age = 61.3 ± 8.1; 75% female) were also performed. Differentially regulated plasma and tissue proteins were identified by global testing adjusting for demographic variables and multiple testing. Logistic lasso regression was used to identify plasma protein panels discriminating FTD from non-demented controls and AD, or FTLD-Tau from FTLD-TDP. Performance of the discriminatory plasma protein panels was based on predictions obtained from bootstrapping with 1000 resampled analysis.Overall plasma protein expression profiles differed between FTD, AD and controls (6 proteins; p = 0.005), but none of the plasma proteins was specifically associated to FTD. The overall tissue protein expression profile differed between FTD and controls (7-proteins; p = 0.003). There was no difference in overall plasma or tissue expression profile between FTD subtypes. Regression analysis revealed a panel of 12-plasma proteins discriminating FTD from AD with high accuracy (AUC: 0.99). No plasma protein panels discriminating FTD from controls or FTD pathological subtypes were identified.We identified a promising plasma protein panel as a minimally-invasive tool to aid in the differential diagnosis of FTD from AD, which was primarily associated to AD pathophysiology. The lack of plasma profiles specifically associated to FTD or its pathological subtypes might be explained by FTD heterogeneity, calling for FTD studies using large and well-characterize cohorts.© 2022. The Author(s)."
,No,reference,36330950,LncBook 2.0: integrating human long non-coding RNAs with multi-omics annotations.,Nucleic Acids Res,"LncBook, a comprehensive resource of human long non-coding RNAs (lncRNAs), has been used in a wide range of lncRNA studies across various biological contexts. Here, we present LncBook 2.0 (https://ngdc.cncb.ac.cn/lncbook), with significant updates and enhancements as follows: (i) incorporation of 119 722 new transcripts, 9632 new genes, and gene structure update of 21 305 lncRNAs; (ii) characterization of conservation features of human lncRNA genes across 40 vertebrates; (iii) integration of lncRNA-encoded small proteins; (iv) enrichment of expression and DNA methylation profiles with more biological contexts and (v) identification of lncRNA-protein interactions and improved prediction of lncRNA-miRNA interactions. Collectively, LncBook 2.0 accommodates a high-quality collection of 95 243 lncRNA genes and 323 950 transcripts and incorporates their abundant annotations at different omics levels, thereby enabling users to decipher functional significance of lncRNAs in different biological contexts.© The Author(s) 2022. Published by Oxford University Press on behalf of Nucleic Acids Research."
x,No,reference,36320053,A correlation map of genome-wide DNA methylation patterns between paired human brain and buccal samples.,Clin Epigenetics,"Epigenome-wide association studies (EWAS) assessing the link between DNA methylation (DNAm) and phenotypes related to structural brain measures, cognitive function, and neurodegenerative diseases are becoming increasingly more popular. Due to the inaccessibility of brain tissue in humans, several studies use peripheral tissues such as blood, buccal swabs, and saliva as surrogates. To aid the functional interpretation of EWAS findings in such settings, there is a need to assess the correlation of DNAm variability across tissues in the same individuals. In this study, we performed a correlation analysis between DNAm data of a total of n = 120 matched post-mortem buccal and prefrontal cortex samples. We identified nearly 25,000 (3% of approximately 730,000) cytosine-phosphate-guanine (CpG) sites showing significant (false discovery rate q < 0.05) correlations between buccal and PFC samples. Correlated CpG sites showed a preponderance to being located in promoter regions and showed a significant enrichment of being determined by genetic factors, i.e. methylation quantitative trait loci (mQTL), based on buccal and dorsolateral prefrontal cortex mQTL databases. Our novel buccal-brain DNAm correlation map will provide a valuable resource for future EWAS using buccal samples for studying DNAm effects on phenotypes relating to the brain. All correlation results are made freely available to the public online.© 2022. The Author(s)."
x,No,reference,36270064,"Genome-wide DNA methylation analysis of post-operative delirium with brain, blood, saliva, and buccal samples from neurosurgery patients.",J Psychiatr Res,"No previous study demonstrates the difference in the genome-wide DNA methylation status of post-operative delirium (POD) using human brain tissue obtained from neurosurgery and multiple peripheral tissues such as blood, saliva, and buccal samples from the same individuals. We aimed to identify epigenetic marks of DNA methylation in the brain and peripheral tissues to elucidate the potential pathophysiological mechanism of POD.The four tissue types (brain, blood, saliva, buccal) of DNA samples from up to 40 patients, including 11 POD cases, were analyzed using Illumina EPIC array. DNAm differences between patients with and without POD were examined. We also conducted enrichment analysis based on the top DNAm signals.The most different CpG site between control and POD was found at cg16526133 near the ADAMTS9 gene from the brain tissue(p = 8.66E-08). However, there are no CpG sites to reach the genome-wide significant level. The enrichment analysis based on the 1000 top hit CpG site (p < 0.05) on the four tissues showed several intriguing pathways. In the brain, there are pathways including ""positive regulation of glial cell differentiation"". Blood samples showed also pathways related to immune function. Besides, both saliva and the buccal sample showed pathways related to circadian rhythm, although these findings were not FDR significant.Enrichment analysis found several intriguing pathways related to potential delirium pathophysiology. Present data may further support the role of epigenetics, especially DNA methylation, in the molecular mechanisms of delirium pathogenesis.Copyright © 2022 Elsevier Ltd. All rights reserved."
,No,reference,36229504,Assessment of variability in the plasma 7k SomaScan proteomics assay.,Sci Rep,"SomaScan is a high-throughput, aptamer-based proteomics assay designed for the simultaneous measurement of thousands of proteins with a broad range of endogenous concentrations. In its most current version, the 7k SomaScan assay v4.1 is capable of measuring 7288 human proteins. In this work, we present an extensive technical assessment of this platform based on a study of 2050 samples across 22 plates. Included in the study design were inter-plate technical duplicates from 102 human subjects, which allowed us to characterize different normalization procedures, evaluate assay variability by multiple analytical approaches, present signal-over-background metrics, and discuss potential specificity issues. By providing detailed performance assessments on this wide range of technical aspects, we aim for this work to serve as a valuable resource for the growing community of SomaScan users.© 2022. This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply."
,No,epigenetics,36163261,Single-cell multi-omics profiling links dynamic DNA methylation to cell fate decisions during mouse early organogenesis,Genome Biol,"Background: Perturbation of DNA methyltransferases (DNMTs) and of the active DNA demethylation pathway via ten-eleven translocation (TET) methylcytosine dioxygenases results in severe developmental defects and embryonic lethality. Dynamic control of DNA methylation is therefore vital for embryogenesis, yet the underlying mechanisms remain poorly understood.

Results: Here we report a single-cell transcriptomic atlas from Dnmt and Tet mutant mouse embryos during early organogenesis. We show that both the maintenance and de novo methyltransferase enzymes are dispensable for the formation of all major cell types at E8.5. However, DNA methyltransferases are required for silencing of prior or alternative cell fates such as pluripotency and extraembryonic programmes. Deletion of all three TET enzymes produces substantial lineage biases, in particular, a failure to generate primitive erythrocytes. Single-cell multi-omics profiling moreover reveals that this is linked to a failure to demethylate distal regulatory elements in Tet triple-knockout embryos.

Conclusions: This study provides a detailed analysis of the effects of perturbing DNA methylation on mouse organogenesis at a whole organism scale and affords new insights into the regulatory mechanisms of cell fate decisions."
,No,dnam age,31554804,Ageing affects DNA methylation drift and transcriptional cell-to-cell variability in mouse muscle stem cells,Nat Commun,"Age-related tissue alterations have been associated with a decline in stem cell number and function. Although increased cell-to-cell variability in transcription or epigenetic marks has been proposed to be a major hallmark of ageing, little is known about the molecular diversity of stem cells during ageing. Here we present a single cell multi-omics study of mouse muscle stem cells, combining single-cell transcriptome and DNA methylome profiling. Aged cells show a global increase of uncoordinated transcriptional heterogeneity biased towards genes regulating cell-niche interactions. We find context-dependent alterations of DNA methylation in aged stem cells. Importantly, promoters with increased methylation heterogeneity are associated with increased transcriptional heterogeneity of the genes they drive. These results indicate that epigenetic drift, by accumulation of stochastic DNA methylation changes in promoters, is associated with the degradation of coherent transcriptional networks during stem cell ageing. Furthermore, our observations also shed light on the mechanisms underlying the DNA methylation clock."
,No,epigenetics,35948369,Single-cell multi-omics of human preimplantation embryos shows susceptibility to glucocorticoids,Genome Res,"The preconceptual, intrauterine, and early life environments can have a profound and long-lasting impact on the developmental trajectories and health outcomes of the offspring. Given the relatively low success rates of assisted reproductive technologies (ART; ?25%), additives and adjuvants, such as glucocorticoids, are used to improve the success rate. Considering the dynamic developmental events that occur during this window, these exposures may alter blastocyst formation at a molecular level, and as such, affect not only the viability of the embryo and the ability of the blastocyst to implant, but also the developmental trajectory of the first three cell lineages, ultimately influencing the physiology of the embryo. In this study, we present a comprehensive single-cell transcriptome, methylome, and small RNA atlas in the day 7 human embryo. We show that, despite no change in morphology and developmental features, preimplantation glucocorticoid exposure reprograms the molecular profile of the TE lineage, and these changes are associated with an altered metabolic and inflammatory response. Our data also suggest that glucocorticoids can precociously mature the TE sublineages, supported by the presence of extravillous trophoblast markers in the polar sublineage and presence of X Chromosome dosage compensation. Further, we have elucidated that epigenetic regulation-DNA methylation and microRNAs (miRNAs)-likely underlies the transcriptional changes observed. This study suggests that exposures to exogenous compounds during preimplantation may unintentionally reprogram the human embryo, possibly leading to suboptimal development and longer-term health outcomes."
